COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
3000007,111,02/01/2025 00:00,65,S
3000007,111,03/01/2025 00:00,65,S
3000007,111,04/01/2025 00:00,62,S
3000007,111,05/01/2025 00:00,37,S
3000007,111,06/01/2025 00:00,45,S
3000007,111,07/01/2025 00:00,38,S
3000007,111,08/01/2025 00:00,19,S
3000007,111,09/01/2025 00:00,21,S
3000007,111,10/01/2025 00:00,16,S
3000007,111,11/01/2025 00:00,10,S
3000007,111,12/01/2025 00:00,15,S
3000007,111,13/01/2025 00:00,19,S
3000007,111,14/01/2025 00:00,13,S
3000007,111,15/01/2025 00:00,14,S
3000007,111,16/01/2025 00:00,23,S
3000007,111,17/01/2025 00:00,39,S
3000007,111,18/01/2025 00:00,21,S
3000007,111,19/01/2025 00:00,24,S
3000007,111,20/01/2025 00:00,28,S
3000007,111,21/01/2025 00:00,40,S
3000007,111,22/01/2025 00:00,27,S
3000007,111,23/01/2025 00:00,22,S
3000007,111,24/01/2025 00:00,10,S
3000007,111,25/01/2025 00:00,15,S
3000007,111,26/01/2025 00:00,25,S
3000007,111,27/01/2025 00:00,10,S
3000007,111,28/01/2025 00:00,21,S
3000007,111,29/01/2025 00:00,6,S
3000007,111,30/01/2025 00:00,16,S
3000007,111,31/01/2025 00:00,24,S
3000007,111,01/02/2025 00:00,27,S
3000007,111,02/02/2025 00:00,16,S
3000007,111,03/02/2025 00:00,22,S
3000007,111,04/02/2025 00:00,20,S
3000007,111,05/02/2025 00:00,24,S
3000007,111,06/02/2025 00:00,32,S
3000007,111,07/02/2025 00:00,35,S
3000007,111,08/02/2025 00:00,31,S
3000007,111,09/02/2025 00:00,44,S
3000007,111,10/02/2025 00:00,13,S
3000007,111,11/02/2025 00:00,14,S
3000007,111,13/02/2025 00:00,20,S
3000007,111,14/02/2025 00:00,28,S
3000007,111,15/02/2025 00:00,18,S
3000007,111,16/02/2025 00:00,16,S
3000007,111,17/02/2025 00:00,25,S
3000007,111,18/02/2025 00:00,19,S
3000007,111,19/02/2025 00:00,23,S
3000007,111,20/02/2025 00:00,20,S
3000007,111,21/02/2025 00:00,34,S
3000007,111,22/02/2025 00:00,42,S
3000007,111,23/02/2025 00:00,61,S
3000007,111,24/02/2025 00:00,79,S
3000007,111,25/02/2025 00:00,87,S
3000007,111,26/02/2025 00:00,65,S
3000007,111,27/02/2025 00:00,18,S
3000007,111,28/02/2025 00:00,8,S
3000007,111,01/03/2025 00:00,23,S
3000007,111,02/03/2025 00:00,13,S
3000007,111,03/03/2025 00:00,11,S
3000007,111,04/03/2025 00:00,13,S
3000007,111,06/03/2025 00:00,26,S
3000007,111,07/03/2025 00:00,27,S
3000007,111,08/03/2025 00:00,23,S
3000007,111,09/03/2025 00:00,28,S
3000007,111,10/03/2025 00:00,35,S
3000007,111,11/03/2025 00:00,18,S
3000007,111,12/03/2025 00:00,12,S
3000007,111,13/03/2025 00:00,13,S
3000007,111,14/03/2025 00:00,3,S
3000007,111,15/03/2025 00:00,5,S
3000007,111,16/03/2025 00:00,8,S
3000007,111,17/03/2025 00:00,4,S
3000007,111,18/03/2025 00:00,5,S
3000007,111,19/03/2025 00:00,5,S
3000007,111,20/03/2025 00:00,12,S
3000007,111,21/03/2025 00:00,18,S
3000007,111,22/03/2025 00:00,30,S
3000007,111,23/03/2025 00:00,20,S
3000007,111,24/03/2025 00:00,11,S
3000007,111,25/03/2025 00:00,11,S
3000007,111,26/03/2025 00:00,5,S
3000007,111,27/03/2025 00:00,11,S
3000007,111,28/03/2025 00:00,7,S
3000007,111,29/03/2025 00:00,8,S
3000007,111,30/03/2025 00:00,6,S
3000007,111,31/03/2025 00:00,5,S
3000007,111,01/04/2025 00:00,5,S
3000007,111,02/04/2025 00:00,6,S
3000007,111,03/04/2025 00:00,11,S
3000007,111,04/04/2025 00:00,14,S
3000007,111,05/04/2025 00:00,14,S
3000007,111,06/04/2025 00:00,14,S
3000007,111,07/04/2025 00:00,11,S
3000007,111,08/04/2025 00:00,6,S
3000007,111,09/04/2025 00:00,10,S
3000007,111,10/04/2025 00:00,15,S
3000007,111,11/04/2025 00:00,18,S
3000007,111,12/04/2025 00:00,16,S
3000007,111,13/04/2025 00:00,18,S
3000007,111,14/04/2025 00:00,7,S
3000007,111,15/04/2025 00:00,7,S
3000007,111,16/04/2025 00:00,7,S
3000007,111,17/04/2025 00:00,11,S
3000007,111,18/04/2025 00:00,4,S
3000007,111,19/04/2025 00:00,4,S
3000007,111,20/04/2025 00:00,4,S
3000007,111,21/04/2025 00:00,8,S
3000007,111,22/04/2025 00:00,5,S
3000007,111,23/04/2025 00:00,7,S
3000007,111,24/04/2025 00:00,10,S
3000007,111,25/04/2025 00:00,6,S
3000007,111,26/04/2025 00:00,4,S
3000007,111,27/04/2025 00:00,3,S
3000007,111,28/04/2025 00:00,6,S
3000007,111,29/04/2025 00:00,10,S
3000007,111,30/04/2025 00:00,11,S
3000007,111,01/05/2025 00:00,11,S
3000007,111,02/05/2025 00:00,10,S
3000007,111,03/05/2025 00:00,11,S
3000007,111,04/05/2025 00:00,9,S
3000007,111,05/05/2025 00:00,7,S
3000007,111,06/05/2025 00:00,9,S
3000007,111,07/05/2025 00:00,5,S
3000007,111,08/05/2025 00:00,5,S
3000007,111,09/05/2025 00:00,6,S
3000007,111,10/05/2025 00:00,8,S
3000007,111,11/05/2025 00:00,8,S
3000007,111,12/05/2025 00:00,7,S
3000007,111,13/05/2025 00:00,6,S
3000007,111,14/05/2025 00:00,10,S
3000007,111,15/05/2025 00:00,9,S
3000007,111,16/05/2025 00:00,9,S
3000007,111,17/05/2025 00:00,4,S
3000007,111,18/05/2025 00:00,6,S
3000007,111,19/05/2025 00:00,5,S
3000007,111,20/05/2025 00:00,7,S
3000007,111,21/05/2025 00:00,8,S
3000007,111,22/05/2025 00:00,11,S
3000007,111,23/05/2025 00:00,6,S
3000007,111,24/05/2025 00:00,3,S
3000007,111,25/05/2025 00:00,6,S
3000007,111,26/05/2025 00:00,9,S
3000007,111,27/05/2025 00:00,12,S
3000007,111,28/05/2025 00:00,12,S
3000007,111,29/05/2025 00:00,8,S
3000007,111,30/05/2025 00:00,7,S
3000007,111,31/05/2025 00:00,9,S
3000007,111,01/06/2025 00:00,10,S
3000007,111,02/06/2025 00:00,9,S
3000007,111,03/06/2025 00:00,7,S
3000007,111,04/06/2025 00:00,9,S
3000007,111,05/06/2025 00:00,11,S
3000007,111,06/06/2025 00:00,10,S
3000007,111,07/06/2025 00:00,8,S
3000007,111,08/06/2025 00:00,10,S
