COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
3000001,7,01/01/2025 01:00,29,S
3000001,7,01/01/2025 02:00,37,S
3000001,7,01/01/2025 03:00,41,S
3000001,7,01/01/2025 04:00,40,S
3000001,7,01/01/2025 05:00,41,S
3000001,7,01/01/2025 06:00,39,S
3000001,7,01/01/2025 07:00,37,S
3000001,7,01/01/2025 08:00,37,S
3000001,7,01/01/2025 09:00,36,S
3000001,7,01/01/2025 10:00,37,S
3000001,7,01/01/2025 11:00,42,S
3000001,7,01/01/2025 12:00,49,S
3000001,7,01/01/2025 13:00,50,S
3000001,7,01/01/2025 14:00,52,S
3000001,7,01/01/2025 15:00,53,S
3000001,7,01/01/2025 16:00,53,S
3000001,7,01/01/2025 17:00,41,S
3000001,7,01/01/2025 18:00,30,S
3000001,7,01/01/2025 19:00,19,S
3000001,7,01/01/2025 20:00,16,S
3000001,7,01/01/2025 21:00,15,S
3000001,7,01/01/2025 22:00,18,S
3000001,7,01/01/2025 23:00,21,S
3000001,7,02/01/2025 00:00,26,S
3000001,7,02/01/2025 01:00,27,S
3000001,7,02/01/2025 02:00,30,S
3000001,7,02/01/2025 03:00,30,S
3000001,7,02/01/2025 04:00,30,S
3000001,7,02/01/2025 05:00,27,S
3000001,7,02/01/2025 06:00,26,S
3000001,7,02/01/2025 07:00,25,S
3000001,7,02/01/2025 08:00,24,S
3000001,7,02/01/2025 09:00,22,S
3000001,7,02/01/2025 10:00,28,S
3000001,7,02/01/2025 11:00,33,S
3000001,7,02/01/2025 12:00,24,S
3000001,7,02/01/2025 13:00,33,S
3000001,7,02/01/2025 14:00,37,S
3000001,7,02/01/2025 15:00,32,S
3000001,7,02/01/2025 16:00,21,S
3000001,7,02/01/2025 17:00,8,S
3000001,7,02/01/2025 18:00,4,S
3000001,7,02/01/2025 19:00,3,S
3000001,7,02/01/2025 20:00,2,S
3000001,7,02/01/2025 21:00,3,S
3000001,7,02/01/2025 22:00,3,S
3000001,7,02/01/2025 23:00,2,S
3000001,7,03/01/2025 00:00,2,S
3000001,7,03/01/2025 01:00,2,S
3000001,7,03/01/2025 02:00,4,S
3000001,7,03/01/2025 03:00,6,S
3000001,7,03/01/2025 04:00,5,S
3000001,7,03/01/2025 05:00,5,S
3000001,7,03/01/2025 06:00,4,S
3000001,7,03/01/2025 07:00,3,S
3000001,7,03/01/2025 08:00,3,S
3000001,7,03/01/2025 09:00,3,S
3000001,7,03/01/2025 10:00,3,S
3000001,7,03/01/2025 11:00,5,S
3000001,7,03/01/2025 12:00,4,S
3000001,7,03/01/2025 13:00,8,S
3000001,7,03/01/2025 14:00,16,S
3000001,7,03/01/2025 15:00,28,S
3000001,7,03/01/2025 16:00,31,S
3000001,7,03/01/2025 17:00,17,S
3000001,7,03/01/2025 18:00,11,S
3000001,7,03/01/2025 19:00,7,S
3000001,7,03/01/2025 20:00,5,S
3000001,7,03/01/2025 21:00,5,S
3000001,7,03/01/2025 22:00,6,S
3000001,7,03/01/2025 23:00,7,S
3000001,7,04/01/2025 00:00,9,S
3000001,7,04/01/2025 01:00,10,S
3000001,7,04/01/2025 02:00,13,S
3000001,7,04/01/2025 03:00,14,S
3000001,7,04/01/2025 04:00,12,S
3000001,7,04/01/2025 05:00,2,S
3000001,7,04/01/2025 06:00,9,S
3000001,7,04/01/2025 07:00,16,S
3000001,7,04/01/2025 08:00,19,S
3000001,7,04/01/2025 09:00,19,S
3000001,7,04/01/2025 10:00,19,S
3000001,7,04/01/2025 11:00,25,S
3000001,7,04/01/2025 12:00,26,S
3000001,7,04/01/2025 13:00,13,S
3000001,7,04/01/2025 14:00,17,S
3000001,7,04/01/2025 15:00,15,S
3000001,7,04/01/2025 16:00,9,S
3000001,7,04/01/2025 17:00,7,S
