COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
3000025,38,02/01/2025 13:00,52,S
3000025,38,02/01/2025 14:00,54,S
3000025,38,02/01/2025 15:00,49,S
3000025,38,02/01/2025 16:00,44,S
3000025,38,02/01/2025 17:00,33,S
3000025,38,02/01/2025 18:00,46,S
3000025,38,02/01/2025 19:00,47,S
3000025,38,02/01/2025 20:00,43,S
3000025,38,02/01/2025 21:00,53,S
3000025,38,02/01/2025 22:00,54,S
3000025,38,02/01/2025 23:00,57,S
3000025,38,03/01/2025 00:00,46,S
3000025,38,03/01/2025 01:00,29,S
3000025,38,03/01/2025 02:00,22,S
3000025,38,03/01/2025 03:00,7,S
3000025,38,03/01/2025 04:00,5,S
3000025,38,03/01/2025 05:00,9,S
3000025,38,03/01/2025 06:00,20,S
3000025,38,03/01/2025 07:00,27,S
3000025,38,03/01/2025 08:00,31,S
3000025,38,03/01/2025 09:00,76,S
3000025,38,03/01/2025 10:00,60,S
3000025,38,03/01/2025 11:00,39,S
3000025,38,03/01/2025 12:00,50,S
3000025,38,03/01/2025 13:00,39,S
3000025,38,03/01/2025 14:00,16,S
3000025,38,03/01/2025 15:00,13,S
3000025,38,03/01/2025 16:00,9,S
3000025,38,03/01/2025 17:00,19,S
3000025,38,03/01/2025 18:00,32,S
3000025,38,03/01/2025 19:00,34,S
3000025,38,03/01/2025 20:00,37,S
3000025,38,03/01/2025 21:00,35,S
3000025,38,03/01/2025 22:00,34,S
3000025,38,03/01/2025 23:00,25,S
3000025,38,04/01/2025 00:00,19,S
3000025,38,04/01/2025 01:00,33,S
3000025,38,04/01/2025 02:00,32,S
3000025,38,04/01/2025 03:00,24,S
3000025,38,04/01/2025 04:00,21,S
3000025,38,04/01/2025 05:00,18,S
3000025,38,04/01/2025 06:00,17,S
3000025,38,04/01/2025 07:00,13,S
3000025,38,04/01/2025 08:00,13,S
3000025,38,04/01/2025 09:00,16,S
3000025,38,04/01/2025 10:00,22,S
3000025,38,04/01/2025 11:00,28,S
3000025,38,04/01/2025 12:00,26,S
3000025,38,04/01/2025 13:00,19,S
3000025,38,04/01/2025 14:00,14,S
3000025,38,04/01/2025 15:00,8,S
3000025,38,04/01/2025 16:00,14,S
3000025,38,04/01/2025 17:00,28,S
3000025,38,04/01/2025 18:00,27,S
3000025,38,04/01/2025 19:00,24,S
3000025,38,04/01/2025 20:00,62,S
3000025,38,04/01/2025 21:00,89,S
3000025,38,04/01/2025 22:00,63,S
3000025,38,04/01/2025 23:00,37,S
3000025,38,05/01/2025 00:00,36,S
3000025,38,05/01/2025 01:00,22,S
3000025,38,05/01/2025 02:00,17,S
3000025,38,05/01/2025 03:00,12,S
3000025,38,05/01/2025 04:00,11,S
3000025,38,05/01/2025 05:00,10,S
3000025,38,05/01/2025 06:00,13,S
3000025,38,05/01/2025 07:00,14,S
3000025,38,05/01/2025 08:00,13,S
3000025,38,05/01/2025 09:00,17,S
3000025,38,05/01/2025 10:00,23,S
3000025,38,05/01/2025 11:00,21,S
3000025,38,05/01/2025 12:00,19,S
3000025,38,05/01/2025 13:00,12,S
3000025,38,05/01/2025 14:00,15,S
3000025,38,05/01/2025 15:00,12,S
3000025,38,05/01/2025 16:00,8,S
3000025,38,05/01/2025 17:00,6,S
3000025,38,05/01/2025 18:00,4,S
3000025,38,05/01/2025 19:00,5,S
3000025,38,05/01/2025 20:00,7,S
3000025,38,05/01/2025 21:00,9,S
3000025,38,05/01/2025 22:00,8,S
3000025,38,05/01/2025 23:00,12,S
3000025,38,06/01/2025 00:00,6,S
3000025,38,06/01/2025 01:00,7,S
3000025,38,06/01/2025 02:00,6,S
3000025,38,06/01/2025 03:00,5,S
3000025,38,06/01/2025 04:00,4,S
3000025,38,06/01/2025 05:00,5,S
3000025,38,06/01/2025 06:00,6,S
3000025,38,06/01/2025 07:00,10,S
3000025,38,06/01/2025 08:00,9,S
3000025,38,06/01/2025 09:00,14,S
3000025,38,06/01/2025 10:00,18,S
3000025,38,06/01/2025 11:00,16,S
3000025,38,06/01/2025 12:00,12,S
3000025,38,06/01/2025 13:00,14,S
3000025,38,06/01/2025 14:00,9,S
3000025,38,06/01/2025 15:00,14,S
3000025,38,06/01/2025 16:00,8,S
3000025,38,06/01/2025 17:00,14,S
3000025,38,06/01/2025 18:00,13,S
3000025,38,06/01/2025 19:00,18,S
3000025,38,06/01/2025 20:00,9,S
3000025,38,06/01/2025 21:00,8,S
3000025,38,06/01/2025 22:00,11,S
3000025,38,06/01/2025 23:00,7,S
3000025,38,07/01/2025 00:00,5,S
3000025,38,07/01/2025 01:00,5,S
3000025,38,07/01/2025 02:00,5,S
3000025,38,07/01/2025 03:00,4,S
3000025,38,07/01/2025 04:00,4,S
3000025,38,07/01/2025 05:00,5,S
3000025,38,07/01/2025 06:00,15,S
3000025,38,07/01/2025 07:00,22,S
3000025,38,07/01/2025 08:00,42,S
3000025,38,07/01/2025 09:00,52,S
3000025,38,07/01/2025 10:00,43,S
3000025,38,07/01/2025 11:00,39,S
3000025,38,07/01/2025 12:00,33,S
3000025,38,07/01/2025 13:00,29,S
3000025,38,07/01/2025 14:00,35,S
3000025,38,07/01/2025 15:00,31,S
3000025,38,07/01/2025 16:00,37,S
3000025,38,07/01/2025 17:00,45,S
3000025,38,07/01/2025 18:00,54,S
3000025,38,07/01/2025 19:00,122,S
3000025,38,07/01/2025 20:00,104,S
3000025,38,07/01/2025 21:00,116,S
3000025,38,07/01/2025 22:00,75,S
3000025,38,07/01/2025 23:00,36,S
3000025,38,08/01/2025 00:00,20,S
3000025,38,08/01/2025 01:00,10,S
3000025,38,08/01/2025 02:00,3,S
3000025,38,08/01/2025 03:00,3,S
3000025,38,08/01/2025 04:00,3,S
3000025,38,08/01/2025 05:00,4,S
3000025,38,08/01/2025 06:00,5,S
3000025,38,08/01/2025 07:00,9,S
3000025,38,08/01/2025 08:00,28,S
3000025,38,08/01/2025 09:00,41,S
3000025,38,08/01/2025 10:00,22,S
3000025,38,08/01/2025 11:00,30,S
3000025,38,08/01/2025 12:00,43,S
3000025,38,08/01/2025 13:00,29,S
3000025,38,08/01/2025 14:00,33,S
3000025,38,08/01/2025 15:00,47,S
3000025,38,08/01/2025 16:00,42,S
3000025,38,08/01/2025 17:00,46,S
3000025,38,08/01/2025 18:00,39,S
3000025,38,08/01/2025 19:00,57,S
3000025,38,08/01/2025 20:00,22,S
3000025,38,08/01/2025 21:00,18,S
3000025,38,08/01/2025 22:00,19,S
3000025,38,08/01/2025 23:00,15,S
3000025,38,09/01/2025 00:00,16,S
3000025,38,09/01/2025 01:00,13,S
3000025,38,09/01/2025 02:00,9,S
3000025,38,09/01/2025 03:00,7,S
3000025,38,09/01/2025 04:00,7,S
3000025,38,09/01/2025 05:00,6,S
3000025,38,09/01/2025 06:00,8,S
3000025,38,09/01/2025 07:00,24,S
3000025,38,09/01/2025 08:00,46,S
3000025,38,09/01/2025 09:00,51,S
3000025,38,09/01/2025 10:00,58,S
3000025,38,09/01/2025 11:00,61,S
3000025,38,09/01/2025 12:00,55,S
3000025,38,09/01/2025 13:00,42,S
3000025,38,09/01/2025 14:00,53,S
3000025,38,09/01/2025 15:00,45,S
3000025,38,09/01/2025 16:00,51,S
3000025,38,09/01/2025 17:00,52,S
3000025,38,09/01/2025 18:00,58,S
3000025,38,09/01/2025 19:00,71,S
3000025,38,09/01/2025 20:00,69,S
3000025,38,09/01/2025 21:00,53,S
3000025,38,09/01/2025 22:00,41,S
3000025,38,09/01/2025 23:00,45,S
3000025,38,10/01/2025 00:00,21,S
3000025,38,10/01/2025 01:00,13,S
3000025,38,10/01/2025 02:00,9,S
3000025,38,10/01/2025 03:00,5,S
3000025,38,10/01/2025 04:00,3,S
3000025,38,10/01/2025 05:00,7,S
3000025,38,10/01/2025 06:00,10,S
3000025,38,10/01/2025 07:00,26,S
3000025,38,10/01/2025 08:00,90,S
3000025,38,10/01/2025 09:00,84,S
3000025,38,10/01/2025 10:00,78,S
3000025,38,10/01/2025 11:00,30,S
3000025,38,10/01/2025 12:00,28,S
3000025,38,10/01/2025 13:00,11,S
3000025,38,10/01/2025 14:00,14,S
3000025,38,10/01/2025 15:00,9,S
3000025,38,10/01/2025 16:00,7,S
3000025,38,10/01/2025 17:00,8,S
3000025,38,10/01/2025 18:00,8,S
3000025,38,10/01/2025 19:00,4,S
3000025,38,10/01/2025 20:00,5,S
3000025,38,10/01/2025 21:00,4,S
3000025,38,10/01/2025 22:00,3,S
3000025,38,10/01/2025 23:00,4,S
3000025,38,11/01/2025 00:00,4,S
3000025,38,11/01/2025 01:00,10,S
3000025,38,11/01/2025 02:00,6,S
3000025,38,11/01/2025 03:00,4,S
3000025,38,11/01/2025 04:00,3,S
3000025,38,11/01/2025 05:00,2,S
3000025,38,11/01/2025 06:00,5,S
3000025,38,11/01/2025 07:00,23,S
3000025,38,11/01/2025 08:00,53,S
3000025,38,11/01/2025 09:00,44,S
3000025,38,11/01/2025 10:00,22,S
3000025,38,11/01/2025 11:00,18,S
3000025,38,11/01/2025 12:00,10,S
3000025,38,11/01/2025 13:00,8,S
3000025,38,11/01/2025 14:00,11,S
3000025,38,11/01/2025 15:00,9,S
3000025,38,11/01/2025 16:00,7,S
3000025,38,11/01/2025 17:00,8,S
3000025,38,11/01/2025 18:00,31,S
3000025,38,11/01/2025 19:00,105,S
3000025,38,11/01/2025 20:00,77,S
3000025,38,11/01/2025 21:00,56,S
3000025,38,11/01/2025 22:00,43,S
3000025,38,11/01/2025 23:00,35,S
3000025,38,12/01/2025 00:00,22,S
3000025,38,12/01/2025 01:00,20,S
3000025,38,12/01/2025 02:00,12,S
3000025,38,12/01/2025 03:00,10,S
3000025,38,12/01/2025 04:00,5,S
3000025,38,12/01/2025 05:00,3,S
3000025,38,12/01/2025 06:00,5,S
3000025,38,12/01/2025 07:00,9,S
3000025,38,12/01/2025 08:00,10,S
3000025,38,12/01/2025 09:00,18,S
3000025,38,12/01/2025 10:00,30,S
3000025,38,12/01/2025 11:00,22,S
3000025,38,12/01/2025 12:00,21,S
3000025,38,12/01/2025 13:00,18,S
3000025,38,12/01/2025 14:00,9,S
3000025,38,12/01/2025 15:00,6,S
3000025,38,12/01/2025 16:00,8,S
3000025,38,12/01/2025 17:00,28,S
3000025,38,12/01/2025 18:00,126,S
3000025,38,12/01/2025 19:00,118,S
3000025,38,12/01/2025 20:00,51,S
3000025,38,12/01/2025 21:00,37,S
3000025,38,12/01/2025 22:00,32,S
3000025,38,12/01/2025 23:00,23,S
3000025,38,13/01/2025 00:00,13,S
3000025,38,13/01/2025 01:00,11,S
3000025,38,13/01/2025 02:00,10,S
3000025,38,13/01/2025 03:00,5,S
3000025,38,13/01/2025 04:00,3,S
3000025,38,13/01/2025 05:00,3,S
