COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
10000059,7,01/01/2025 01:00,28,M
10000059,7,01/01/2025 02:00,31,M
10000059,7,01/01/2025 03:00,36,M
10000059,7,01/01/2025 04:00,40,M
10000059,7,01/01/2025 05:00,42,M
10000059,7,01/01/2025 06:00,46,M
10000059,7,01/01/2025 07:00,48,M
10000059,7,01/01/2025 08:00,50,M
10000059,7,01/01/2025 09:00,52,M
10000059,7,01/01/2025 10:00,52,M
10000059,7,01/01/2025 11:00,57,M
10000059,7,01/01/2025 12:00,58,M
10000059,7,01/01/2025 13:00,56,M
10000059,7,01/01/2025 14:00,59,M
10000059,7,01/01/2025 15:00,61,M
10000059,7,01/01/2025 16:00,53,M
10000059,7,01/01/2025 17:00,43,M
10000059,7,01/01/2025 18:00,20,M
10000059,7,01/01/2025 19:00,25,M
10000059,7,01/01/2025 20:00,27,M
10000059,7,01/01/2025 21:00,37,M
10000059,7,01/01/2025 22:00,44,M
10000059,7,01/01/2025 23:00,44,M
10000059,7,02/01/2025 00:00,27,M
10000059,7,02/01/2025 01:00,32,M
10000059,7,02/01/2025 02:00,36,M
10000059,7,02/01/2025 03:00,9,M
10000059,7,02/01/2025 04:00,3,M
10000059,7,02/01/2025 05:00,23,M
10000059,7,02/01/2025 06:00,46,M
10000059,7,02/01/2025 07:00,42,M
10000059,7,02/01/2025 08:00,36,M
10000059,7,02/01/2025 09:00,36,M
10000059,7,02/01/2025 10:00,54,M
10000059,7,02/01/2025 11:00,69,M
10000059,7,02/01/2025 12:00,69,M
10000059,7,02/01/2025 13:00,69,M
10000059,7,02/01/2025 14:00,68,M
10000059,7,02/01/2025 15:00,66,M
10000059,7,02/01/2025 16:00,64,M
10000059,7,02/01/2025 17:00,57,M
10000059,7,02/01/2025 18:00,56,M
10000059,7,02/01/2025 19:00,63,M
10000059,7,02/01/2025 20:00,67,M
10000059,7,02/01/2025 21:00,68,M
10000059,7,02/01/2025 22:00,68,M
10000059,7,02/01/2025 23:00,68,M
10000059,7,03/01/2025 00:00,70,M
10000059,7,03/01/2025 01:00,73,M
10000059,7,03/01/2025 02:00,71,M
10000059,7,03/01/2025 03:00,64,M
10000059,7,03/01/2025 04:00,68,M
10000059,7,03/01/2025 05:00,73,M
10000059,7,03/01/2025 06:00,72,M
10000059,7,03/01/2025 07:00,68,M
10000059,7,03/01/2025 08:00,64,M
10000059,7,03/01/2025 09:00,20,M
10000059,7,03/01/2025 10:00,17,M
10000059,7,03/01/2025 11:00,19,M
10000059,7,03/01/2025 12:00,15,M
10000059,7,03/01/2025 13:00,13,M
10000059,7,03/01/2025 14:00,6,M
10000059,7,03/01/2025 15:00,5,M
10000059,7,03/01/2025 16:00,4,M
10000059,7,03/01/2025 17:00,7,M
10000059,7,03/01/2025 18:00,3,M
10000059,7,03/01/2025 19:00,3,M
10000059,7,03/01/2025 20:00,4,M
10000059,7,03/01/2025 21:00,6,M
10000059,7,03/01/2025 22:00,10,M
10000059,7,03/01/2025 23:00,15,M
10000059,7,04/01/2025 00:00,21,M
10000059,7,04/01/2025 01:00,23,M
10000059,7,04/01/2025 02:00,26,M
10000059,7,04/01/2025 03:00,26,M
10000059,7,04/01/2025 04:00,25,M
10000059,7,04/01/2025 05:00,29,M
10000059,7,04/01/2025 06:00,31,M
10000059,7,04/01/2025 07:00,32,M
10000059,7,04/01/2025 08:00,30,M
10000059,7,04/01/2025 09:00,14,M
10000059,7,04/01/2025 10:00,8,M
10000059,7,04/01/2025 11:00,8,M
10000059,7,04/01/2025 12:00,21,M
10000059,7,04/01/2025 13:00,34,M
10000059,7,04/01/2025 14:00,32,M
10000059,7,04/01/2025 15:00,21,M
10000059,7,04/01/2025 16:00,18,M
10000059,7,04/01/2025 17:00,24,M
10000059,7,04/01/2025 18:00,27,M
10000059,7,04/01/2025 19:00,21,M
10000059,7,04/01/2025 20:00,14,M
10000059,7,04/01/2025 21:00,9,M
10000059,7,04/01/2025 22:00,11,M
10000059,7,04/01/2025 23:00,11,M
10000059,7,05/01/2025 00:00,13,M
10000059,7,05/01/2025 01:00,16,M
10000059,7,05/01/2025 02:00,15,M
10000059,7,05/01/2025 03:00,10,M
10000059,7,05/01/2025 04:00,12,M
10000059,7,05/01/2025 05:00,13,M
10000059,7,05/01/2025 06:00,14,M
10000059,7,05/01/2025 07:00,12,M
10000059,7,05/01/2025 08:00,10,M
10000059,7,05/01/2025 09:00,9,M
10000059,7,05/01/2025 10:00,13,M
10000059,7,05/01/2025 11:00,15,M
10000059,7,05/01/2025 12:00,15,M
10000059,7,05/01/2025 13:00,14,M
10000059,7,05/01/2025 14:00,15,M
10000059,7,05/01/2025 15:00,21,M
10000059,7,05/01/2025 16:00,23,M
10000059,7,05/01/2025 17:00,19,M
10000059,7,05/01/2025 18:00,13,M
10000059,7,05/01/2025 19:00,10,M
10000059,7,05/01/2025 20:00,7,M
10000059,7,05/01/2025 21:00,6,M
10000059,7,05/01/2025 22:00,5,M
10000059,7,05/01/2025 23:00,5,M
10000059,7,06/01/2025 00:00,5,M
10000059,7,06/01/2025 01:00,6,M
10000059,7,06/01/2025 02:00,6,M
10000059,7,06/01/2025 03:00,5,M
10000059,7,06/01/2025 04:00,6,M
10000059,7,06/01/2025 05:00,9,M
10000059,7,06/01/2025 06:00,9,M
10000059,7,06/01/2025 07:00,11,M
10000059,7,06/01/2025 08:00,12,M
10000059,7,06/01/2025 09:00,13,M
10000059,7,06/01/2025 10:00,15,M
10000059,7,06/01/2025 11:00,11,M
10000059,7,06/01/2025 12:00,18,M
10000059,7,06/01/2025 13:00,23,M
10000059,7,06/01/2025 14:00,26,M
10000059,7,06/01/2025 15:00,25,M
10000059,7,06/01/2025 16:00,18,M
10000059,7,06/01/2025 17:00,13,M
10000059,7,06/01/2025 18:00,7,M
10000059,7,06/01/2025 19:00,5,M
10000059,7,06/01/2025 20:00,3,M
10000059,7,06/01/2025 21:00,3,M
10000059,7,06/01/2025 22:00,3,M
10000059,7,06/01/2025 23:00,3,M
10000059,7,07/01/2025 00:00,3,M
10000059,7,07/01/2025 01:00,17,M
10000059,7,07/01/2025 02:00,53,M
10000059,7,07/01/2025 03:00,69,M
10000059,7,07/01/2025 04:00,72,M
10000059,7,07/01/2025 05:00,69,M
10000059,7,07/01/2025 06:00,63,M
10000059,7,07/01/2025 07:00,47,M
10000059,7,07/01/2025 08:00,60,M
10000059,7,07/01/2025 09:00,64,M
10000059,7,07/01/2025 10:00,64,M
10000059,7,07/01/2025 11:00,63,M
10000059,7,07/01/2025 12:00,64,M
10000059,7,07/01/2025 13:00,69,M
10000059,7,07/01/2025 14:00,43,M
10000059,7,07/01/2025 15:00,12,M
10000059,7,07/01/2025 16:00,9,M
10000059,7,07/01/2025 17:00,5,M
10000059,7,07/01/2025 18:00,3,M
10000059,7,07/01/2025 19:00,3,M
10000059,7,07/01/2025 20:00,3,M
10000059,7,07/01/2025 21:00,3,M
10000059,7,07/01/2025 22:00,3,M
10000059,7,07/01/2025 23:00,3,M
10000059,7,08/01/2025 00:00,5,M
10000059,7,08/01/2025 01:00,3,M
10000059,7,08/01/2025 02:00,3,M
10000059,7,08/01/2025 03:00,3,M
10000059,7,08/01/2025 04:00,3,M
10000059,7,08/01/2025 05:00,3,M
10000059,7,08/01/2025 06:00,3,M
10000059,7,08/01/2025 07:00,3,M
10000059,7,08/01/2025 08:00,3,M
10000059,7,08/01/2025 09:00,3,M
