COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
5000062,38,01/01/2025 01:00,25,S
5000062,38,01/01/2025 02:00,21,S
5000062,38,01/01/2025 03:00,16,S
5000062,38,01/01/2025 04:00,10,S
5000062,38,01/01/2025 05:00,4,S
5000062,38,01/01/2025 06:00,3,S
5000062,38,01/01/2025 07:00,3,S
5000062,38,01/01/2025 08:00,4,S
5000062,38,01/01/2025 09:00,5,S
5000062,38,01/01/2025 10:00,11,S
5000062,38,01/01/2025 11:00,13,S
5000062,38,01/01/2025 12:00,11,S
5000062,38,01/01/2025 13:00,9,S
5000062,38,01/01/2025 14:00,9,S
5000062,38,01/01/2025 15:00,7,S
5000062,38,01/01/2025 16:00,8,S
5000062,38,01/01/2025 17:00,5,S
5000062,38,01/01/2025 18:00,4,S
5000062,38,01/01/2025 19:00,5,S
5000062,38,01/01/2025 20:00,10,S
5000062,38,01/01/2025 21:00,14,S
5000062,38,01/01/2025 22:00,16,S
5000062,38,01/01/2025 23:00,18,S
5000062,38,02/01/2025 00:00,15,S
5000062,38,02/01/2025 01:00,13,S
5000062,38,02/01/2025 02:00,12,S
5000062,38,02/01/2025 03:00,10,S
5000062,38,02/01/2025 04:00,10,S
5000062,38,02/01/2025 05:00,9,S
5000062,38,02/01/2025 06:00,7,S
5000062,38,02/01/2025 07:00,6,S
5000062,38,02/01/2025 08:00,8,S
5000062,38,02/01/2025 09:00,10,S
5000062,38,02/01/2025 10:00,14,S
5000062,38,02/01/2025 11:00,15,S
5000062,38,02/01/2025 12:00,19,S
5000062,38,02/01/2025 13:00,17,S
5000062,38,02/01/2025 14:00,13,S
5000062,38,02/01/2025 15:00,13,S
5000062,38,02/01/2025 16:00,14,S
5000062,38,02/01/2025 17:00,16,S
5000062,38,02/01/2025 18:00,13,S
5000062,38,02/01/2025 19:00,9,S
5000062,38,02/01/2025 20:00,15,S
5000062,38,02/01/2025 21:00,18,S
5000062,38,02/01/2025 22:00,21,S
5000062,38,02/01/2025 23:00,27,S
5000062,38,03/01/2025 00:00,29,S
5000062,38,03/01/2025 01:00,15,S
5000062,38,03/01/2025 02:00,14,S
5000062,38,03/01/2025 03:00,11,S
5000062,38,03/01/2025 04:00,7,S
5000062,38,03/01/2025 05:00,5,S
5000062,38,03/01/2025 06:00,4,S
5000062,38,03/01/2025 07:00,3,S
