COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
6000031,38,01/01/2025 01:00,55,M
6000031,38,01/01/2025 02:00,59,M
6000031,38,01/01/2025 03:00,32,M
6000031,38,01/01/2025 04:00,27,M
6000031,38,01/01/2025 05:00,31,M
6000031,38,01/01/2025 06:00,24,M
6000031,38,01/01/2025 07:00,12,M
6000031,38,01/01/2025 08:00,10,M
6000031,38,01/01/2025 09:00,16,M
6000031,38,01/01/2025 10:00,16,M
6000031,38,01/01/2025 11:00,6,M
6000031,38,01/01/2025 12:00,4,M
6000031,38,01/01/2025 13:00,4,M
6000031,38,01/01/2025 14:00,3,M
6000031,38,01/01/2025 15:00,3,M
6000031,38,01/01/2025 16:00,3,M
6000031,38,01/01/2025 17:00,6,M
6000031,38,01/01/2025 18:00,21,M
6000031,38,01/01/2025 19:00,30,M
6000031,38,01/01/2025 20:00,39,M
6000031,38,01/01/2025 21:00,46,M
6000031,38,01/01/2025 22:00,45,M
6000031,38,01/01/2025 23:00,51,M
6000031,38,02/01/2025 00:00,53,M
6000031,38,02/01/2025 01:00,42,M
6000031,38,02/01/2025 02:00,36,M
6000031,38,02/01/2025 03:00,32,M
6000031,38,02/01/2025 04:00,30,M
6000031,38,02/01/2025 05:00,35,M
6000031,38,02/01/2025 06:00,15,M
6000031,38,02/01/2025 07:00,20,M
6000031,38,02/01/2025 08:00,57,M
6000031,38,02/01/2025 09:00,132,M
6000031,38,02/01/2025 10:00,134,M
6000031,38,02/01/2025 11:00,42,M
6000031,38,02/01/2025 12:00,6,M
6000031,38,02/01/2025 13:00,3,M
6000031,38,02/01/2025 14:00,3,M
6000031,38,02/01/2025 15:00,4,M
6000031,38,02/01/2025 16:00,3,M
6000031,38,02/01/2025 17:00,3,M
6000031,38,02/01/2025 18:00,5,M
6000031,38,02/01/2025 19:00,4,M
6000031,38,02/01/2025 20:00,4,M
6000031,38,02/01/2025 21:00,4,M
6000031,38,02/01/2025 22:00,2,M
6000031,38,02/01/2025 23:00,1,M
6000031,38,03/01/2025 00:00,1,M
6000031,38,03/01/2025 01:00,2,M
6000031,38,03/01/2025 02:00,3,M
6000031,38,03/01/2025 03:00,2,M
6000031,38,03/01/2025 04:00,1,M
6000031,38,03/01/2025 05:00,2,M
6000031,38,03/01/2025 06:00,2,M
6000031,38,03/01/2025 07:00,3,M
6000031,38,03/01/2025 08:00,3,M
6000031,38,03/01/2025 09:00,5,M
6000031,38,03/01/2025 10:00,7,M
6000031,38,03/01/2025 11:00,9,M
6000031,38,03/01/2025 12:00,12,M
6000031,38,03/01/2025 13:00,16,M
6000031,38,03/01/2025 14:00,19,M
6000031,38,03/01/2025 15:00,21,M
6000031,38,03/01/2025 16:00,21,M
6000031,38,03/01/2025 17:00,23,M
6000031,38,03/01/2025 18:00,40,M
6000031,38,03/01/2025 19:00,64,M
6000031,38,03/01/2025 20:00,34,M
6000031,38,03/01/2025 21:00,60,M
6000031,38,03/01/2025 22:00,57,M
6000031,38,03/01/2025 23:00,58,M
6000031,38,04/01/2025 00:00,40,M
6000031,38,04/01/2025 01:00,32,M
6000031,38,04/01/2025 02:00,29,M
6000031,38,04/01/2025 03:00,29,M
