COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
5000024,9,01/01/2013 00,01/01/2013 01,85,ug/m3
5000024,9,01/01/2013 01,01/01/2013 02,118,ug/m3
5000024,9,01/01/2013 03,01/01/2013 04,133,ug/m3
5000024,9,01/01/2013 04,01/01/2013 05,86,ug/m3
5000024,9,01/01/2013 05,01/01/2013 06,102,ug/m3
5000024,9,01/01/2013 06,01/01/2013 07,104,ug/m3
5000024,9,01/01/2013 07,01/01/2013 08,92,ug/m3
5000024,9,01/01/2013 08,01/01/2013 09,156,ug/m3
5000024,9,01/01/2013 09,01/01/2013 10,79,ug/m3
5000024,9,01/01/2013 10,01/01/2013 11,59,ug/m3
5000024,9,01/01/2013 11,01/01/2013 12,52,ug/m3
5000024,9,01/01/2013 12,01/01/2013 13,78,ug/m3
5000024,9,01/01/2013 13,01/01/2013 14,58,ug/m3
5000024,9,01/01/2013 14,01/01/2013 15,77,ug/m3
5000024,9,01/01/2013 15,01/01/2013 16,108,ug/m3
5000024,9,01/01/2013 16,01/01/2013 17,105,ug/m3
5000024,9,01/01/2013 17,01/01/2013 18,96,ug/m3
5000024,9,01/01/2013 18,01/01/2013 19,89,ug/m3
5000024,9,01/01/2013 19,01/01/2013 20,107,ug/m3
5000024,9,01/01/2013 20,01/01/2013 21,115,ug/m3
5000024,9,01/01/2013 21,01/01/2013 22,130,ug/m3
5000024,9,01/01/2013 22,01/01/2013 23,113,ug/m3
5000024,9,01/01/2013 23,02/01/2013 00,60,ug/m3
5000024,9,02/01/2013 00,02/01/2013 01,56,ug/m3
5000024,9,02/01/2013 01,02/01/2013 02,54,ug/m3
5000024,9,02/01/2013 03,02/01/2013 04,80,ug/m3
5000024,9,02/01/2013 04,02/01/2013 05,140,ug/m3
5000024,9,02/01/2013 05,02/01/2013 06,120,ug/m3
5000024,9,02/01/2013 06,02/01/2013 07,115,ug/m3
5000024,9,02/01/2013 07,02/01/2013 08,75,ug/m3
5000024,9,02/01/2013 08,02/01/2013 09,94,ug/m3
5000024,9,02/01/2013 09,02/01/2013 10,130,ug/m3
5000024,9,02/01/2013 10,02/01/2013 11,198,ug/m3
5000024,9,02/01/2013 11,02/01/2013 12,175,ug/m3
5000024,9,02/01/2013 12,02/01/2013 13,185,ug/m3
5000024,9,02/01/2013 13,02/01/2013 14,170,ug/m3
5000024,9,02/01/2013 14,02/01/2013 15,144,ug/m3
