COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
5000024,111,29/07/2011 00,30/07/2011 00,11,ug/m3
5000024,111,30/07/2011 00,31/07/2011 00,12,ug/m3
5000024,111,31/07/2011 00,01/08/2011 00,12,ug/m3
5000024,111,01/08/2011 00,02/08/2011 00,17,ug/m3
5000024,111,02/08/2011 00,03/08/2011 00,19,ug/m3
5000024,111,03/08/2011 00,04/08/2011 00,19,ug/m3
5000024,111,04/08/2011 00,05/08/2011 00,18,ug/m3
5000024,111,05/08/2011 00,06/08/2011 00,22,ug/m3
5000024,111,06/08/2011 00,07/08/2011 00,12,ug/m3
5000024,111,07/08/2011 00,08/08/2011 00,20,ug/m3
5000024,111,08/08/2011 00,09/08/2011 00,13,ug/m3
5000024,111,10/08/2011 00,11/08/2011 00,9,ug/m3
5000024,111,11/08/2011 00,12/08/2011 00,11,ug/m3
5000024,111,12/08/2011 00,13/08/2011 00,14,ug/m3
5000024,111,13/08/2011 00,14/08/2011 00,17,ug/m3
5000024,111,14/08/2011 00,15/08/2011 00,18,ug/m3
5000024,111,15/08/2011 00,16/08/2011 00,17,ug/m3
5000024,111,16/08/2011 00,17/08/2011 00,17,ug/m3
5000024,111,17/08/2011 00,18/08/2011 00,16,ug/m3
5000024,111,18/08/2011 00,19/08/2011 00,16,ug/m3
5000024,111,19/08/2011 00,20/08/2011 00,13,ug/m3
5000024,111,20/08/2011 00,21/08/2011 00,16,ug/m3
5000024,111,21/08/2011 00,22/08/2011 00,22,ug/m3
5000024,111,22/08/2011 00,23/08/2011 00,22,ug/m3
5000024,111,23/08/2011 00,24/08/2011 00,21,ug/m3
5000024,111,24/08/2011 00,25/08/2011 00,17,ug/m3
5000024,111,25/08/2011 00,26/08/2011 00,19,ug/m3
5000024,111,26/08/2011 00,27/08/2011 00,18,ug/m3
5000024,111,27/08/2011 00,28/08/2011 00,10,ug/m3
5000024,111,28/08/2011 00,29/08/2011 00,10,ug/m3
5000024,111,29/08/2011 00,30/08/2011 00,14,ug/m3
5000024,111,30/08/2011 00,31/08/2011 00,13,ug/m3
5000024,111,31/08/2011 00,01/09/2011 00,16,ug/m3
5000024,111,01/09/2011 00,02/09/2011 00,19,ug/m3
5000024,111,02/09/2011 00,03/09/2011 00,17,ug/m3
5000024,111,03/09/2011 00,04/09/2011 00,27,ug/m3
5000024,111,04/09/2011 00,05/09/2011 00,27,ug/m3
5000024,111,05/09/2011 00,06/09/2011 00,11,ug/m3
5000024,111,06/09/2011 00,07/09/2011 00,11,ug/m3
5000024,111,07/09/2011 00,08/09/2011 00,16,ug/m3
5000024,111,08/09/2011 00,09/09/2011 00,18,ug/m3
5000024,111,09/09/2011 00,10/09/2011 00,24,ug/m3
5000024,111,10/09/2011 00,11/09/2011 00,30,ug/m3
5000024,111,11/09/2011 00,12/09/2011 00,19,ug/m3
5000024,111,12/09/2011 00,13/09/2011 00,19,ug/m3
5000024,111,13/09/2011 00,14/09/2011 00,23,ug/m3
5000024,111,14/09/2011 00,15/09/2011 00,18,ug/m3
5000024,111,15/09/2011 00,16/09/2011 00,21,ug/m3
5000024,111,16/09/2011 00,17/09/2011 00,28,ug/m3
5000024,111,17/09/2011 00,18/09/2011 00,17,ug/m3
5000024,111,18/09/2011 00,19/09/2011 00,13,ug/m3
5000024,111,19/09/2011 00,20/09/2011 00,7,ug/m3
5000024,111,20/09/2011 00,21/09/2011 00,7,ug/m3
5000024,111,21/09/2011 00,22/09/2011 00,11,ug/m3
5000024,111,22/09/2011 00,23/09/2011 00,16,ug/m3
5000024,111,23/09/2011 00,24/09/2011 00,28,ug/m3
5000024,111,24/09/2011 00,25/09/2011 00,34,ug/m3
5000024,111,25/09/2011 00,26/09/2011 00,32,ug/m3
5000024,111,26/09/2011 00,27/09/2011 00,26,ug/m3
5000024,111,27/09/2011 00,28/09/2011 00,28,ug/m3
