COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
3000025,9,01/01/2017 00,01/01/2017 01,177,ug/m3
3000025,9,01/01/2017 01,01/01/2017 02,141,ug/m3
3000025,9,01/01/2017 02,01/01/2017 03,251,ug/m3
3000025,9,01/01/2017 03,01/01/2017 04,177,ug/m3
3000025,9,01/01/2017 04,01/01/2017 05,185,ug/m3
3000025,9,01/01/2017 05,01/01/2017 06,119,ug/m3
3000025,9,01/01/2017 06,01/01/2017 07,92,ug/m3
3000025,9,01/01/2017 07,01/01/2017 08,93,ug/m3
3000025,9,01/01/2017 08,01/01/2017 09,87,ug/m3
3000025,9,01/01/2017 09,01/01/2017 10,97,ug/m3
3000025,9,01/01/2017 10,01/01/2017 11,69,ug/m3
3000025,9,01/01/2017 11,01/01/2017 12,65,ug/m3
3000025,9,01/01/2017 12,01/01/2017 13,71,ug/m3
3000025,9,01/01/2017 13,01/01/2017 14,75,ug/m3
3000025,9,01/01/2017 14,01/01/2017 15,71,ug/m3
3000025,9,01/01/2017 15,01/01/2017 16,104,ug/m3
3000025,9,01/01/2017 16,01/01/2017 17,173,ug/m3
3000025,9,01/01/2017 17,01/01/2017 18,326,ug/m3
3000025,9,01/01/2017 18,01/01/2017 19,496,ug/m3
3000025,9,01/01/2017 19,01/01/2017 20,412,ug/m3
3000025,9,01/01/2017 20,01/01/2017 21,280,ug/m3
3000025,9,01/01/2017 21,01/01/2017 22,261,ug/m3
3000025,9,01/01/2017 22,01/01/2017 23,288,ug/m3
3000025,9,01/01/2017 23,02/01/2017 00,296,ug/m3
3000025,9,02/01/2017 00,02/01/2017 01,309,ug/m3
3000025,9,02/01/2017 01,02/01/2017 02,254,ug/m3
3000025,9,02/01/2017 02,02/01/2017 03,134,ug/m3
3000025,9,02/01/2017 03,02/01/2017 04,96,ug/m3
3000025,9,02/01/2017 04,02/01/2017 05,91,ug/m3
3000025,9,02/01/2017 05,02/01/2017 06,110,ug/m3
3000025,9,02/01/2017 06,02/01/2017 07,118,ug/m3
3000025,9,02/01/2017 07,02/01/2017 08,149,ug/m3
3000025,9,02/01/2017 08,02/01/2017 09,186,ug/m3
3000025,9,02/01/2017 09,02/01/2017 10,183,ug/m3
3000025,9,02/01/2017 10,02/01/2017 11,163,ug/m3
3000025,9,02/01/2017 11,02/01/2017 12,144,ug/m3
3000025,9,02/01/2017 12,02/01/2017 13,135,ug/m3
3000025,9,02/01/2017 13,02/01/2017 14,115,ug/m3
3000025,9,02/01/2017 14,02/01/2017 15,109,ug/m3
3000025,9,02/01/2017 15,02/01/2017 16,122,ug/m3
