COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
5000033,9,01/01/2015 00,01/01/2015 01,60,ug/m3
5000033,9,01/01/2015 01,01/01/2015 02,56,ug/m3
5000033,9,01/01/2015 02,01/01/2015 03,51,ug/m3
5000033,9,01/01/2015 03,01/01/2015 04,52,ug/m3
5000033,9,01/01/2015 05,01/01/2015 06,32,ug/m3
5000033,9,01/01/2015 06,01/01/2015 07,36,ug/m3
5000033,9,01/01/2015 07,01/01/2015 08,50,ug/m3
5000033,9,01/01/2015 08,01/01/2015 09,61,ug/m3
5000033,9,01/01/2015 09,01/01/2015 10,54,ug/m3
5000033,9,01/01/2015 10,01/01/2015 11,51,ug/m3
5000033,9,01/01/2015 11,01/01/2015 12,47,ug/m3
5000033,9,01/01/2015 12,01/01/2015 13,44,ug/m3
5000033,9,01/01/2015 13,01/01/2015 14,41,ug/m3
5000033,9,01/01/2015 14,01/01/2015 15,38,ug/m3
5000033,9,01/01/2015 15,01/01/2015 16,39,ug/m3
5000033,9,01/01/2015 16,01/01/2015 17,49,ug/m3
5000033,9,01/01/2015 17,01/01/2015 18,159,ug/m3
5000033,9,01/01/2015 18,01/01/2015 19,198,ug/m3
5000033,9,01/01/2015 19,01/01/2015 20,203,ug/m3
5000033,9,01/01/2015 20,01/01/2015 21,177,ug/m3
5000033,9,01/01/2015 21,01/01/2015 22,133,ug/m3
5000033,9,01/01/2015 22,01/01/2015 23,99,ug/m3
5000033,9,01/01/2015 23,02/01/2015 00,79,ug/m3
5000033,9,02/01/2015 00,02/01/2015 01,78,ug/m3
5000033,9,02/01/2015 01,02/01/2015 02,68,ug/m3
5000033,9,02/01/2015 02,02/01/2015 03,59,ug/m3
5000033,9,02/01/2015 03,02/01/2015 04,52,ug/m3
5000033,9,02/01/2015 05,02/01/2015 06,52,ug/m3
5000033,9,02/01/2015 06,02/01/2015 07,62,ug/m3
5000033,9,02/01/2015 07,02/01/2015 08,80,ug/m3
5000033,9,02/01/2015 08,02/01/2015 09,86,ug/m3
5000033,9,02/01/2015 09,02/01/2015 10,95,ug/m3
