COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
3000006,8,01/01/2012 00,01/01/2012 01,64.6,ug/m3
3000006,8,01/01/2012 01,01/01/2012 02,70.2,ug/m3
3000006,8,01/01/2012 02,01/01/2012 03,79.9,ug/m3
3000006,8,01/01/2012 03,01/01/2012 04,67.2,ug/m3
3000006,8,01/01/2012 04,01/01/2012 05,53.1,ug/m3
3000006,8,01/01/2012 05,01/01/2012 06,54.8,ug/m3
3000006,8,01/01/2012 06,01/01/2012 07,62.4,ug/m3
3000006,8,01/01/2012 07,01/01/2012 08,57.7,ug/m3
3000006,8,01/01/2012 08,01/01/2012 09,56,ug/m3
3000006,8,01/01/2012 09,01/01/2012 10,60.4,ug/m3
3000006,8,01/01/2012 10,01/01/2012 11,36.8,ug/m3
3000006,8,01/01/2012 11,01/01/2012 12,31.5,ug/m3
3000006,8,01/01/2012 12,01/01/2012 13,37.7,ug/m3
3000006,8,01/01/2012 13,01/01/2012 14,41.1,ug/m3
3000006,8,01/01/2012 14,01/01/2012 15,40.5,ug/m3
3000006,8,01/01/2012 15,01/01/2012 16,49.2,ug/m3
3000006,8,01/01/2012 16,01/01/2012 17,68.6,ug/m3
3000006,8,01/01/2012 17,01/01/2012 18,91.9,ug/m3
3000006,8,01/01/2012 18,01/01/2012 19,143.8,ug/m3
3000006,8,01/01/2012 19,01/01/2012 20,136.6,ug/m3
3000006,8,01/01/2012 20,01/01/2012 21,71.6,ug/m3
3000006,8,01/01/2012 21,01/01/2012 22,84.2,ug/m3
3000006,8,01/01/2012 22,01/01/2012 23,87.5,ug/m3
3000006,8,01/01/2012 23,02/01/2012 00,76.5,ug/m3
3000006,8,02/01/2012 00,02/01/2012 01,67.6,ug/m3
3000006,8,02/01/2012 01,02/01/2012 02,49.3,ug/m3
3000006,8,02/01/2012 02,02/01/2012 03,47,ug/m3
3000006,8,02/01/2012 03,02/01/2012 04,42.1,ug/m3
3000006,8,02/01/2012 04,02/01/2012 05,37.9,ug/m3
3000006,8,02/01/2012 05,02/01/2012 06,44.3,ug/m3
3000006,8,02/01/2012 06,02/01/2012 07,42.2,ug/m3
3000006,8,02/01/2012 07,02/01/2012 08,48.3,ug/m3
3000006,8,02/01/2012 08,02/01/2012 09,54.9,ug/m3
3000006,8,02/01/2012 09,02/01/2012 10,60.4,ug/m3
3000006,8,02/01/2012 10,02/01/2012 11,65.4,ug/m3
3000006,8,02/01/2012 11,02/01/2012 12,64.6,ug/m3
3000006,8,02/01/2012 12,02/01/2012 13,59.9,ug/m3
3000006,8,02/01/2012 13,02/01/2012 14,49.7,ug/m3
3000006,8,02/01/2012 14,02/01/2012 15,52.9,ug/m3
3000006,8,02/01/2012 15,02/01/2012 16,56.1,ug/m3
3000006,8,02/01/2012 16,02/01/2012 17,54.8,ug/m3
3000006,8,02/01/2012 17,02/01/2012 18,58.1,ug/m3
3000006,8,02/01/2012 18,02/01/2012 19,61.2,ug/m3
3000006,8,02/01/2012 19,02/01/2012 20,62.6,ug/m3
3000006,8,02/01/2012 20,02/01/2012 21,63.9,ug/m3
3000006,8,02/01/2012 21,02/01/2012 22,47.6,ug/m3
3000006,8,02/01/2012 22,02/01/2012 23,50.3,ug/m3
3000006,8,02/01/2012 23,03/01/2012 00,45.6,ug/m3
3000006,8,03/01/2012 00,03/01/2012 01,46.1,ug/m3
