COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
9000068,7,01/01/2023 00,01/01/2023 01,0,ug/m3
9000068,7,01/01/2023 01,01/01/2023 02,0,ug/m3
9000068,7,01/01/2023 02,01/01/2023 03,0,ug/m3
9000068,7,01/01/2023 03,01/01/2023 04,0,ug/m3
9000068,7,01/01/2023 04,01/01/2023 05,0,ug/m3
9000068,7,01/01/2023 05,01/01/2023 06,0,ug/m3
9000068,7,01/01/2023 06,01/01/2023 07,0,ug/m3
9000068,7,01/01/2023 07,01/01/2023 08,0,ug/m3
9000068,7,01/01/2023 08,01/01/2023 09,0,ug/m3
9000068,7,01/01/2023 09,01/01/2023 10,2,ug/m3
9000068,7,01/01/2023 10,01/01/2023 11,6,ug/m3
9000068,7,01/01/2023 11,01/01/2023 12,10,ug/m3
9000068,7,01/01/2023 12,01/01/2023 13,12,ug/m3
9000068,7,01/01/2023 13,01/01/2023 14,14,ug/m3
9000068,7,01/01/2023 14,01/01/2023 15,20,ug/m3
9000068,7,01/01/2023 15,01/01/2023 16,18,ug/m3
9000068,7,01/01/2023 16,01/01/2023 17,11,ug/m3
9000068,7,01/01/2023 17,01/01/2023 18,6,ug/m3
9000068,7,01/01/2023 18,01/01/2023 19,3,ug/m3
9000068,7,01/01/2023 19,01/01/2023 20,1,ug/m3
9000068,7,01/01/2023 20,01/01/2023 21,0,ug/m3
9000068,7,01/01/2023 21,01/01/2023 22,0,ug/m3
9000068,7,01/01/2023 22,01/01/2023 23,0,ug/m3
9000068,7,01/01/2023 23,02/01/2023 00,0,ug/m3
9000068,7,02/01/2023 00,02/01/2023 01,0,ug/m3
9000068,7,02/01/2023 01,02/01/2023 02,0,ug/m3
9000068,7,02/01/2023 02,02/01/2023 03,0,ug/m3
9000068,7,02/01/2023 03,02/01/2023 04,0,ug/m3
9000068,7,02/01/2023 04,02/01/2023 05,0,ug/m3
9000068,7,02/01/2023 05,02/01/2023 06,0,ug/m3
9000068,7,02/01/2023 06,02/01/2023 07,15,ug/m3
9000068,7,02/01/2023 08,02/01/2023 09,10,ug/m3
9000068,7,02/01/2023 09,02/01/2023 10,7,ug/m3
9000068,7,02/01/2023 10,02/01/2023 11,9,ug/m3
9000068,7,02/01/2023 11,02/01/2023 12,12,ug/m3
9000068,7,02/01/2023 12,02/01/2023 13,12,ug/m3
9000068,7,02/01/2023 13,02/01/2023 14,11,ug/m3
9000068,7,02/01/2023 14,02/01/2023 15,13,ug/m3
9000068,7,02/01/2023 15,02/01/2023 16,11,ug/m3
9000068,7,02/01/2023 16,02/01/2023 17,10,ug/m3
9000068,7,02/01/2023 17,02/01/2023 18,12,ug/m3
9000068,7,02/01/2023 18,02/01/2023 19,6,ug/m3
9000068,7,02/01/2023 19,02/01/2023 20,8,ug/m3
9000068,7,02/01/2023 20,02/01/2023 21,6,ug/m3
9000068,7,02/01/2023 21,02/01/2023 22,11,ug/m3
9000068,7,02/01/2023 22,02/01/2023 23,9,ug/m3
9000068,7,02/01/2023 23,03/01/2023 00,10,ug/m3
9000068,7,03/01/2023 00,03/01/2023 01,8,ug/m3
9000068,7,03/01/2023 01,03/01/2023 02,12,ug/m3
9000068,7,03/01/2023 02,03/01/2023 03,7,ug/m3
9000068,7,03/01/2023 03,03/01/2023 04,6,ug/m3
9000068,7,03/01/2023 04,03/01/2023 05,8,ug/m3
9000068,7,03/01/2023 05,03/01/2023 06,9,ug/m3
9000068,7,03/01/2023 06,03/01/2023 07,8,ug/m3
9000068,7,03/01/2023 07,03/01/2023 08,6,ug/m3
9000068,7,03/01/2023 08,03/01/2023 09,8,ug/m3
9000068,7,03/01/2023 09,03/01/2023 10,9,ug/m3
9000068,7,03/01/2023 10,03/01/2023 11,10,ug/m3
9000068,7,03/01/2023 11,03/01/2023 12,12,ug/m3
9000068,7,03/01/2023 12,03/01/2023 13,13,ug/m3
9000068,7,03/01/2023 13,03/01/2023 14,12,ug/m3
9000068,7,03/01/2023 14,03/01/2023 15,13,ug/m3
9000068,7,03/01/2023 15,03/01/2023 16,15,ug/m3
9000068,7,03/01/2023 16,03/01/2023 17,16,ug/m3
9000068,7,03/01/2023 17,03/01/2023 18,16,ug/m3
9000068,7,03/01/2023 18,03/01/2023 19,16,ug/m3
9000068,7,03/01/2023 19,03/01/2023 20,12,ug/m3
9000068,7,03/01/2023 20,03/01/2023 21,12,ug/m3
9000068,7,03/01/2023 21,03/01/2023 22,13,ug/m3
9000068,7,03/01/2023 22,03/01/2023 23,15,ug/m3
9000068,7,03/01/2023 23,04/01/2023 00,14,ug/m3
9000068,7,04/01/2023 00,04/01/2023 01,16,ug/m3
9000068,7,04/01/2023 01,04/01/2023 02,11,ug/m3
9000068,7,04/01/2023 02,04/01/2023 03,8,ug/m3
9000068,7,04/01/2023 03,04/01/2023 04,5,ug/m3
9000068,7,04/01/2023 04,04/01/2023 05,7,ug/m3
9000068,7,04/01/2023 05,04/01/2023 06,3,ug/m3
9000068,7,04/01/2023 06,04/01/2023 07,1,ug/m3
9000068,7,04/01/2023 07,04/01/2023 08,0,ug/m3
9000068,7,04/01/2023 08,04/01/2023 09,0,ug/m3
9000068,7,04/01/2023 09,04/01/2023 10,0,ug/m3
9000068,7,04/01/2023 10,04/01/2023 11,5,ug/m3
9000068,7,04/01/2023 11,04/01/2023 12,7,ug/m3
9000068,7,04/01/2023 12,04/01/2023 13,6,ug/m3
9000068,7,04/01/2023 13,04/01/2023 14,7,ug/m3
9000068,7,04/01/2023 14,04/01/2023 15,9,ug/m3
9000068,7,04/01/2023 15,04/01/2023 16,16,ug/m3
9000068,7,04/01/2023 16,04/01/2023 17,19,ug/m3
9000068,7,04/01/2023 17,04/01/2023 18,20,ug/m3
9000068,7,04/01/2023 18,04/01/2023 19,22,ug/m3
9000068,7,04/01/2023 19,04/01/2023 20,24,ug/m3
9000068,7,04/01/2023 20,04/01/2023 21,18,ug/m3
9000068,7,04/01/2023 21,04/01/2023 22,17,ug/m3
9000068,7,04/01/2023 22,04/01/2023 23,16,ug/m3
9000068,7,04/01/2023 23,05/01/2023 00,16,ug/m3
9000068,7,05/01/2023 00,05/01/2023 01,14,ug/m3
9000068,7,05/01/2023 01,05/01/2023 02,17,ug/m3
9000068,7,05/01/2023 02,05/01/2023 03,20,ug/m3
9000068,7,05/01/2023 03,05/01/2023 04,26,ug/m3
9000068,7,05/01/2023 04,05/01/2023 05,22,ug/m3
9000068,7,05/01/2023 05,05/01/2023 06,26,ug/m3
9000068,7,05/01/2023 06,05/01/2023 07,28,ug/m3
9000068,7,05/01/2023 07,05/01/2023 08,26,ug/m3
9000068,7,05/01/2023 08,05/01/2023 09,28,ug/m3
9000068,7,05/01/2023 09,05/01/2023 10,24,ug/m3
9000068,7,05/01/2023 10,05/01/2023 11,22,ug/m3
9000068,7,05/01/2023 11,05/01/2023 12,20,ug/m3
9000068,7,05/01/2023 12,05/01/2023 13,17,ug/m3
9000068,7,05/01/2023 13,05/01/2023 14,17,ug/m3
9000068,7,05/01/2023 14,05/01/2023 15,25,ug/m3
