COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
6000036,7,21/04/2010 00,21/04/2010 01,151.38,ug/m3
6000036,7,21/04/2010 01,21/04/2010 02,151.76,ug/m3
6000036,7,21/04/2010 02,21/04/2010 03,151.58,ug/m3
6000036,7,21/04/2010 03,21/04/2010 04,147.34,ug/m3
6000036,7,21/04/2010 04,21/04/2010 05,144.16,ug/m3
6000036,7,21/04/2010 05,21/04/2010 06,140.12,ug/m3
6000036,7,21/04/2010 06,21/04/2010 07,136.66,ug/m3
6000036,7,21/04/2010 07,21/04/2010 08,130.76,ug/m3
6000036,7,21/04/2010 08,21/04/2010 09,124.14,ug/m3
6000036,7,21/04/2010 09,21/04/2010 10,123.06,ug/m3
6000036,7,21/04/2010 10,21/04/2010 11,123.74,ug/m3
6000036,7,21/04/2010 11,21/04/2010 12,127.2,ug/m3
6000036,7,21/04/2010 12,21/04/2010 13,134.14,ug/m3
6000036,7,21/04/2010 13,21/04/2010 14,137.14,ug/m3
6000036,7,21/04/2010 16,21/04/2010 17,134.52,ug/m3
6000036,7,21/04/2010 17,21/04/2010 18,135.66,ug/m3
6000036,7,21/04/2010 18,21/04/2010 19,135.4,ug/m3
6000036,7,21/04/2010 19,21/04/2010 20,132.58,ug/m3
6000036,7,21/04/2010 20,21/04/2010 21,130.5,ug/m3
6000036,7,21/04/2010 21,21/04/2010 22,129.98,ug/m3
6000036,7,21/04/2010 22,21/04/2010 23,131.66,ug/m3
6000036,7,21/04/2010 23,22/04/2010 00,133.04,ug/m3
6000036,7,22/04/2010 00,22/04/2010 01,136.7,ug/m3
6000036,7,22/04/2010 02,22/04/2010 03,132.44,ug/m3
6000036,7,22/04/2010 03,22/04/2010 04,129.06,ug/m3
6000036,7,22/04/2010 04,22/04/2010 05,128.7,ug/m3
6000036,7,22/04/2010 05,22/04/2010 06,128.56,ug/m3
6000036,7,22/04/2010 06,22/04/2010 07,125.06,ug/m3
6000036,7,22/04/2010 07,22/04/2010 08,117.26,ug/m3
