COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
4000152,5,29/11/2013 00,30/11/2013 00,40,ug/m3
4000152,5,30/11/2013 00,01/12/2013 00,46,ug/m3
4000152,5,01/12/2013 00,02/12/2013 00,38,ug/m3
4000152,5,02/12/2013 00,03/12/2013 00,31,ug/m3
4000152,5,03/12/2013 00,04/12/2013 00,40,ug/m3
4000152,5,04/12/2013 00,05/12/2013 00,52,ug/m3
4000152,5,05/12/2013 00,06/12/2013 00,61,ug/m3
4000152,5,06/12/2013 00,07/12/2013 00,61,ug/m3
4000152,5,07/12/2013 00,08/12/2013 00,75,ug/m3
4000152,5,08/12/2013 00,09/12/2013 00,44,ug/m3
4000152,5,09/12/2013 00,10/12/2013 00,50,ug/m3
4000152,5,10/12/2013 00,11/12/2013 00,46,ug/m3
4000152,5,11/12/2013 00,12/12/2013 00,39,ug/m3
4000152,5,12/12/2013 00,13/12/2013 00,38,ug/m3
4000152,5,13/12/2013 00,14/12/2013 00,62,ug/m3
4000152,5,14/12/2013 00,15/12/2013 00,55,ug/m3
4000152,5,15/12/2013 00,16/12/2013 00,37,ug/m3
4000152,5,16/12/2013 00,17/12/2013 00,51,ug/m3
4000152,5,17/12/2013 00,18/12/2013 00,63,ug/m3
4000152,5,18/12/2013 00,19/12/2013 00,68,ug/m3
4000152,5,19/12/2013 00,20/12/2013 00,62,ug/m3
4000152,5,20/12/2013 00,21/12/2013 00,58,ug/m3
4000152,5,21/12/2013 00,22/12/2013 00,42,ug/m3
4000152,5,22/12/2013 00,23/12/2013 00,46,ug/m3
4000152,5,23/12/2013 00,24/12/2013 00,47,ug/m3
4000152,5,24/12/2013 00,25/12/2013 00,17,ug/m3
4000152,5,25/12/2013 00,26/12/2013 00,13,ug/m3
4000152,5,26/12/2013 00,27/12/2013 00,2,ug/m3
4000152,5,27/12/2013 00,28/12/2013 00,14,ug/m3
4000152,5,28/12/2013 00,29/12/2013 00,33,ug/m3
4000152,5,29/12/2013 00,30/12/2013 00,38,ug/m3
4000152,5,30/12/2013 00,31/12/2013 00,18,ug/m3
4000152,5,31/12/2013 00,01/01/2014 00,28,ug/m3
