COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
4000110,8,01/01/2010 00,01/01/2010 01,56.5,ug/m3
4000110,8,01/01/2010 01,01/01/2010 02,69.6,ug/m3
4000110,8,01/01/2010 02,01/01/2010 03,65.3,ug/m3
4000110,8,01/01/2010 03,01/01/2010 04,59.8,ug/m3
4000110,8,01/01/2010 04,01/01/2010 05,65.2,ug/m3
4000110,8,01/01/2010 05,01/01/2010 06,45.9,ug/m3
4000110,8,01/01/2010 06,01/01/2010 07,42.1,ug/m3
4000110,8,01/01/2010 07,01/01/2010 08,34,ug/m3
4000110,8,01/01/2010 08,01/01/2010 09,31.6,ug/m3
4000110,8,01/01/2010 09,01/01/2010 10,47.3,ug/m3
4000110,8,01/01/2010 10,01/01/2010 11,45.2,ug/m3
4000110,8,01/01/2010 11,01/01/2010 12,49.4,ug/m3
4000110,8,01/01/2010 12,01/01/2010 13,63.2,ug/m3
4000110,8,01/01/2010 13,01/01/2010 14,59.7,ug/m3
4000110,8,01/01/2010 14,01/01/2010 15,51.9,ug/m3
4000110,8,01/01/2010 15,01/01/2010 16,55.3,ug/m3
4000110,8,01/01/2010 16,01/01/2010 17,71.4,ug/m3
4000110,8,01/01/2010 17,01/01/2010 18,59.7,ug/m3
4000110,8,01/01/2010 18,01/01/2010 19,79.9,ug/m3
4000110,8,01/01/2010 19,01/01/2010 20,58.5,ug/m3
4000110,8,01/01/2010 20,01/01/2010 21,57.6,ug/m3
4000110,8,01/01/2010 21,01/01/2010 22,63.2,ug/m3
4000110,8,01/01/2010 22,01/01/2010 23,31,ug/m3
4000110,8,01/01/2010 23,02/01/2010 00,24.5,ug/m3
4000110,8,02/01/2010 00,02/01/2010 01,24.6,ug/m3
4000110,8,02/01/2010 01,02/01/2010 02,24,ug/m3
4000110,8,02/01/2010 02,02/01/2010 03,19.3,ug/m3
4000110,8,02/01/2010 03,02/01/2010 04,26.5,ug/m3
4000110,8,02/01/2010 04,02/01/2010 05,30.1,ug/m3
4000110,8,02/01/2010 05,02/01/2010 06,29,ug/m3
4000110,8,02/01/2010 06,02/01/2010 07,35.4,ug/m3
4000110,8,02/01/2010 07,02/01/2010 08,35.8,ug/m3
4000110,8,02/01/2010 08,02/01/2010 09,53.9,ug/m3
4000110,8,02/01/2010 09,02/01/2010 10,48.5,ug/m3
4000110,8,02/01/2010 10,02/01/2010 11,54,ug/m3
4000110,8,02/01/2010 11,02/01/2010 12,64.5,ug/m3
4000110,8,02/01/2010 12,02/01/2010 13,60.8,ug/m3
4000110,8,02/01/2010 13,02/01/2010 14,60.9,ug/m3
4000110,8,02/01/2010 14,02/01/2010 15,47.1,ug/m3
4000110,8,02/01/2010 15,02/01/2010 16,47.2,ug/m3
4000110,8,02/01/2010 16,02/01/2010 17,52.1,ug/m3
4000110,8,02/01/2010 17,02/01/2010 18,62.4,ug/m3
4000110,8,02/01/2010 18,02/01/2010 19,72.5,ug/m3
4000110,8,02/01/2010 19,02/01/2010 20,57.9,ug/m3
4000110,8,02/01/2010 20,02/01/2010 21,59.9,ug/m3
4000110,8,02/01/2010 21,02/01/2010 22,46.3,ug/m3
4000110,8,02/01/2010 22,02/01/2010 23,25.5,ug/m3
4000110,8,02/01/2010 23,03/01/2010 00,29.7,ug/m3
4000110,8,03/01/2010 00,03/01/2010 01,18.5,ug/m3
4000110,8,03/01/2010 01,03/01/2010 02,23.4,ug/m3
4000110,8,03/01/2010 02,03/01/2010 03,15.1,ug/m3
4000110,8,03/01/2010 03,03/01/2010 04,15.9,ug/m3
4000110,8,03/01/2010 04,03/01/2010 05,14.6,ug/m3
4000110,8,03/01/2010 05,03/01/2010 06,17.8,ug/m3
4000110,8,03/01/2010 06,03/01/2010 07,19.4,ug/m3
4000110,8,03/01/2010 07,03/01/2010 08,23.5,ug/m3
4000110,8,03/01/2010 08,03/01/2010 09,19.9,ug/m3
4000110,8,03/01/2010 09,03/01/2010 10,19.7,ug/m3
4000110,8,03/01/2010 10,03/01/2010 11,17.2,ug/m3
4000110,8,03/01/2010 11,03/01/2010 12,29,ug/m3
4000110,8,03/01/2010 12,03/01/2010 13,50.7,ug/m3
4000110,8,03/01/2010 13,03/01/2010 14,51.6,ug/m3
4000110,8,03/01/2010 14,03/01/2010 15,47.2,ug/m3
4000110,8,03/01/2010 15,03/01/2010 16,47,ug/m3
4000110,8,03/01/2010 16,03/01/2010 17,68,ug/m3
4000110,8,03/01/2010 17,03/01/2010 18,66,ug/m3
4000110,8,03/01/2010 18,03/01/2010 19,53.2,ug/m3
4000110,8,03/01/2010 19,03/01/2010 20,57.9,ug/m3
4000110,8,03/01/2010 20,03/01/2010 21,54.8,ug/m3
4000110,8,03/01/2010 21,03/01/2010 22,48.9,ug/m3
4000110,8,03/01/2010 22,03/01/2010 23,45.7,ug/m3
4000110,8,03/01/2010 23,04/01/2010 00,41.2,ug/m3
4000110,8,04/01/2010 00,04/01/2010 01,41.2,ug/m3
4000110,8,04/01/2010 01,04/01/2010 02,37,ug/m3
4000110,8,04/01/2010 02,04/01/2010 03,34.8,ug/m3
4000110,8,04/01/2010 03,04/01/2010 04,32.6,ug/m3
4000110,8,04/01/2010 04,04/01/2010 05,40.5,ug/m3
4000110,8,04/01/2010 05,04/01/2010 06,43.8,ug/m3
4000110,8,04/01/2010 06,04/01/2010 07,62.9,ug/m3
4000110,8,04/01/2010 07,04/01/2010 08,72,ug/m3
4000110,8,04/01/2010 08,04/01/2010 09,79.1,ug/m3
4000110,8,04/01/2010 09,04/01/2010 10,77.2,ug/m3
4000110,8,04/01/2010 10,04/01/2010 11,88.9,ug/m3
4000110,8,04/01/2010 11,04/01/2010 12,86.7,ug/m3
4000110,8,04/01/2010 12,04/01/2010 13,79.5,ug/m3
4000110,8,04/01/2010 13,04/01/2010 14,79,ug/m3
