COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
3000006,38,01/01/2011 00,01/01/2011 01,199.6,ug/m3
3000006,38,01/01/2011 01,01/01/2011 02,328.8,ug/m3
3000006,38,01/01/2011 02,01/01/2011 03,234.3,ug/m3
3000006,38,01/01/2011 03,01/01/2011 04,146.6,ug/m3
3000006,38,01/01/2011 04,01/01/2011 05,57.5,ug/m3
3000006,38,01/01/2011 05,01/01/2011 06,36.3,ug/m3
3000006,38,01/01/2011 06,01/01/2011 07,43.9,ug/m3
3000006,38,01/01/2011 07,01/01/2011 08,62.5,ug/m3
3000006,38,01/01/2011 08,01/01/2011 09,46.9,ug/m3
3000006,38,01/01/2011 09,01/01/2011 10,33.2,ug/m3
3000006,38,01/01/2011 10,01/01/2011 11,31.5,ug/m3
3000006,38,01/01/2011 11,01/01/2011 12,43.6,ug/m3
3000006,38,01/01/2011 12,01/01/2011 13,48.2,ug/m3
3000006,38,01/01/2011 13,01/01/2011 14,41.9,ug/m3
3000006,38,01/01/2011 14,01/01/2011 15,47.4,ug/m3
3000006,38,01/01/2011 15,01/01/2011 16,46.2,ug/m3
3000006,38,01/01/2011 16,01/01/2011 17,55.5,ug/m3
3000006,38,01/01/2011 17,01/01/2011 18,126.5,ug/m3
3000006,38,01/01/2011 18,01/01/2011 19,259.1,ug/m3
3000006,38,01/01/2011 19,01/01/2011 20,118,ug/m3
3000006,38,01/01/2011 20,01/01/2011 21,86.7,ug/m3
3000006,38,01/01/2011 21,01/01/2011 22,76.4,ug/m3
3000006,38,01/01/2011 22,01/01/2011 23,81.2,ug/m3
3000006,38,01/01/2011 23,02/01/2011 00,54.1,ug/m3
3000006,38,02/01/2011 00,02/01/2011 01,51,ug/m3
3000006,38,02/01/2011 01,02/01/2011 02,41.8,ug/m3
3000006,38,02/01/2011 02,02/01/2011 03,28.1,ug/m3
3000006,38,02/01/2011 03,02/01/2011 04,65.6,ug/m3
3000006,38,02/01/2011 04,02/01/2011 05,64.2,ug/m3
3000006,38,02/01/2011 05,02/01/2011 06,48.2,ug/m3
3000006,38,02/01/2011 06,02/01/2011 07,55.3,ug/m3
3000006,38,02/01/2011 07,02/01/2011 08,34.8,ug/m3
3000006,38,02/01/2011 08,02/01/2011 09,25.6,ug/m3
3000006,38,02/01/2011 09,02/01/2011 10,36.6,ug/m3
3000006,38,02/01/2011 10,02/01/2011 11,53.9,ug/m3
3000006,38,02/01/2011 11,02/01/2011 12,39.9,ug/m3
3000006,38,02/01/2011 12,02/01/2011 13,34.7,ug/m3
3000006,38,02/01/2011 13,02/01/2011 14,32.6,ug/m3
3000006,38,02/01/2011 14,02/01/2011 15,33.5,ug/m3
3000006,38,02/01/2011 15,02/01/2011 16,38.6,ug/m3
