COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
5000024,9,01/01/2012 00,01/01/2012 01,66,ug/m3
5000024,9,01/01/2012 01,01/01/2012 02,114,ug/m3
5000024,9,01/01/2012 03,01/01/2012 04,177,ug/m3
5000024,9,01/01/2012 04,01/01/2012 05,73,ug/m3
5000024,9,01/01/2012 05,01/01/2012 06,95,ug/m3
5000024,9,01/01/2012 06,01/01/2012 07,136,ug/m3
5000024,9,01/01/2012 07,01/01/2012 08,155,ug/m3
5000024,9,01/01/2012 08,01/01/2012 09,182,ug/m3
5000024,9,01/01/2012 09,01/01/2012 10,103,ug/m3
5000024,9,01/01/2012 10,01/01/2012 11,62,ug/m3
5000024,9,01/01/2012 11,01/01/2012 12,47,ug/m3
5000024,9,01/01/2012 12,01/01/2012 13,43,ug/m3
5000024,9,01/01/2012 13,01/01/2012 14,38,ug/m3
5000024,9,01/01/2012 14,01/01/2012 15,39,ug/m3
5000024,9,01/01/2012 15,01/01/2012 16,46,ug/m3
5000024,9,01/01/2012 16,01/01/2012 17,56,ug/m3
5000024,9,01/01/2012 17,01/01/2012 18,89,ug/m3
5000024,9,01/01/2012 18,01/01/2012 19,75,ug/m3
5000024,9,01/01/2012 19,01/01/2012 20,111,ug/m3
5000024,9,01/01/2012 20,01/01/2012 21,129,ug/m3
5000024,9,01/01/2012 21,01/01/2012 22,79,ug/m3
5000024,9,01/01/2012 22,01/01/2012 23,170,ug/m3
5000024,9,01/01/2012 23,02/01/2012 00,253,ug/m3
5000024,9,02/01/2012 00,02/01/2012 01,203,ug/m3
5000024,9,02/01/2012 01,02/01/2012 02,107,ug/m3
5000024,9,02/01/2012 03,02/01/2012 04,64,ug/m3
5000024,9,02/01/2012 04,02/01/2012 05,98,ug/m3
5000024,9,02/01/2012 05,02/01/2012 06,73,ug/m3
5000024,9,02/01/2012 06,02/01/2012 07,192,ug/m3
5000024,9,02/01/2012 07,02/01/2012 08,256,ug/m3
5000024,9,02/01/2012 08,02/01/2012 09,187,ug/m3
5000024,9,02/01/2012 09,02/01/2012 10,148,ug/m3
5000024,9,02/01/2012 10,02/01/2012 11,99,ug/m3
5000024,9,02/01/2012 11,02/01/2012 12,73,ug/m3
5000024,9,02/01/2012 12,02/01/2012 13,61,ug/m3
5000024,9,02/01/2012 13,02/01/2012 14,58,ug/m3
5000024,9,02/01/2012 14,02/01/2012 15,70,ug/m3
5000024,9,02/01/2012 15,02/01/2012 16,78,ug/m3
5000024,9,02/01/2012 16,02/01/2012 17,73,ug/m3
5000024,9,02/01/2012 17,02/01/2012 18,54,ug/m3
5000024,9,02/01/2012 18,02/01/2012 19,50,ug/m3
5000024,9,02/01/2012 19,02/01/2012 20,145,ug/m3
5000024,9,02/01/2012 20,02/01/2012 21,115,ug/m3
5000024,9,02/01/2012 21,02/01/2012 22,95,ug/m3
5000024,9,02/01/2012 22,02/01/2012 23,78,ug/m3
5000024,9,02/01/2012 23,03/01/2012 00,73,ug/m3
5000024,9,03/01/2012 00,03/01/2012 01,70,ug/m3
5000024,9,03/01/2012 01,03/01/2012 02,51,ug/m3
5000024,9,03/01/2012 03,03/01/2012 04,42,ug/m3
5000024,9,03/01/2012 04,03/01/2012 05,62,ug/m3
5000024,9,03/01/2012 05,03/01/2012 06,100,ug/m3
5000024,9,03/01/2012 06,03/01/2012 07,150,ug/m3
5000024,9,03/01/2012 07,03/01/2012 08,186,ug/m3
5000024,9,03/01/2012 08,03/01/2012 09,157,ug/m3
5000024,9,03/01/2012 09,03/01/2012 10,80,ug/m3
5000024,9,03/01/2012 10,03/01/2012 11,102,ug/m3
5000024,9,03/01/2012 11,03/01/2012 12,83,ug/m3
5000024,9,03/01/2012 12,03/01/2012 13,92,ug/m3
5000024,9,03/01/2012 13,03/01/2012 14,128,ug/m3
5000024,9,03/01/2012 14,03/01/2012 15,150,ug/m3
5000024,9,03/01/2012 15,03/01/2012 16,106,ug/m3
5000024,9,03/01/2012 16,03/01/2012 17,141,ug/m3
5000024,9,03/01/2012 17,03/01/2012 18,140,ug/m3
5000024,9,03/01/2012 18,03/01/2012 19,100,ug/m3
5000024,9,03/01/2012 19,03/01/2012 20,134,ug/m3
5000024,9,03/01/2012 20,03/01/2012 21,117,ug/m3
5000024,9,03/01/2012 21,03/01/2012 22,84,ug/m3
5000024,9,03/01/2012 22,03/01/2012 23,117,ug/m3
5000024,9,03/01/2012 23,04/01/2012 00,140,ug/m3
5000024,9,04/01/2012 00,04/01/2012 01,114,ug/m3
5000024,9,04/01/2012 01,04/01/2012 02,97,ug/m3
5000024,9,04/01/2012 03,04/01/2012 04,72,ug/m3
5000024,9,04/01/2012 04,04/01/2012 05,69,ug/m3
5000024,9,04/01/2012 05,04/01/2012 06,113,ug/m3
5000024,9,04/01/2012 06,04/01/2012 07,81,ug/m3
5000024,9,04/01/2012 07,04/01/2012 08,94,ug/m3
5000024,9,04/01/2012 08,04/01/2012 09,169,ug/m3
5000024,9,04/01/2012 09,04/01/2012 10,191,ug/m3
