COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
10000074,9,21/05/2014 00,21/05/2014 01,11,ug/m3
10000074,9,21/05/2014 01,21/05/2014 02,11,ug/m3
10000074,9,26/05/2014 23,27/05/2014 00,7,ug/m3
10000074,9,27/05/2014 00,27/05/2014 01,7,ug/m3
10000074,9,27/05/2014 01,27/05/2014 02,6,ug/m3
10000074,9,27/05/2014 04,27/05/2014 05,6,ug/m3
10000074,9,27/05/2014 05,27/05/2014 06,5,ug/m3
10000074,9,27/05/2014 06,27/05/2014 07,3,ug/m3
10000074,9,27/05/2014 07,27/05/2014 08,2,ug/m3
10000074,9,27/05/2014 08,27/05/2014 09,3,ug/m3
10000074,9,27/05/2014 09,27/05/2014 10,5,ug/m3
10000074,9,27/05/2014 10,27/05/2014 11,3,ug/m3
10000074,9,27/05/2014 11,27/05/2014 12,2,ug/m3
10000074,9,27/05/2014 12,27/05/2014 13,2,ug/m3
10000074,9,27/05/2014 13,27/05/2014 14,3,ug/m3
10000074,9,27/05/2014 14,27/05/2014 15,2,ug/m3
10000074,9,27/05/2014 15,27/05/2014 16,2,ug/m3
10000074,9,27/05/2014 16,27/05/2014 17,2,ug/m3
10000074,9,27/05/2014 17,27/05/2014 18,2,ug/m3
10000074,9,27/05/2014 18,27/05/2014 19,3,ug/m3
10000074,9,27/05/2014 19,27/05/2014 20,4,ug/m3
10000074,9,27/05/2014 20,27/05/2014 21,3,ug/m3
10000074,9,27/05/2014 21,27/05/2014 22,2,ug/m3
10000074,9,27/05/2014 22,27/05/2014 23,2,ug/m3
10000074,9,27/05/2014 23,28/05/2014 00,2,ug/m3
10000074,9,29/05/2014 00,29/05/2014 01,4,ug/m3
10000074,9,29/05/2014 01,29/05/2014 02,4,ug/m3
10000074,9,29/05/2014 02,29/05/2014 03,3,ug/m3
10000074,9,29/05/2014 04,29/05/2014 05,8,ug/m3
10000074,9,29/05/2014 05,29/05/2014 06,6,ug/m3
10000074,9,29/05/2014 06,29/05/2014 07,6,ug/m3
10000074,9,29/05/2014 07,29/05/2014 08,5,ug/m3
10000074,9,29/05/2014 08,29/05/2014 09,5,ug/m3
10000074,9,29/05/2014 09,29/05/2014 10,5,ug/m3
10000074,9,29/05/2014 10,29/05/2014 11,5,ug/m3
10000074,9,29/05/2014 12,29/05/2014 13,9,ug/m3
10000074,9,29/05/2014 13,29/05/2014 14,8,ug/m3
10000074,9,29/05/2014 14,29/05/2014 15,7,ug/m3
10000074,9,29/05/2014 15,29/05/2014 16,7,ug/m3
10000074,9,29/05/2014 16,29/05/2014 17,8,ug/m3
10000074,9,29/05/2014 17,29/05/2014 18,9,ug/m3
10000074,9,29/05/2014 18,29/05/2014 19,9,ug/m3
10000074,9,29/05/2014 19,29/05/2014 20,6,ug/m3
10000074,9,29/05/2014 20,29/05/2014 21,7,ug/m3
10000074,9,29/05/2014 21,29/05/2014 22,7,ug/m3
10000074,9,29/05/2014 22,29/05/2014 23,8,ug/m3
10000074,9,29/05/2014 23,30/05/2014 00,6,ug/m3
10000074,9,30/05/2014 00,30/05/2014 01,7,ug/m3
10000074,9,30/05/2014 01,30/05/2014 02,7,ug/m3
10000074,9,30/05/2014 02,30/05/2014 03,7,ug/m3
10000074,9,30/05/2014 05,30/05/2014 06,9,ug/m3
10000074,9,30/05/2014 06,30/05/2014 07,7,ug/m3
10000074,9,30/05/2014 07,30/05/2014 08,5,ug/m3
10000074,9,30/05/2014 08,30/05/2014 09,6,ug/m3
10000074,9,30/05/2014 09,30/05/2014 10,6,ug/m3
10000074,9,30/05/2014 10,30/05/2014 11,4,ug/m3
10000074,9,30/05/2014 11,30/05/2014 12,5,ug/m3
10000074,9,30/05/2014 12,30/05/2014 13,7,ug/m3
10000074,9,30/05/2014 13,30/05/2014 14,6,ug/m3
10000074,9,30/05/2014 14,30/05/2014 15,5,ug/m3
10000074,9,30/05/2014 15,30/05/2014 16,6,ug/m3
10000074,9,30/05/2014 16,30/05/2014 17,5,ug/m3
10000074,9,30/05/2014 17,30/05/2014 18,7,ug/m3
10000074,9,30/05/2014 18,30/05/2014 19,6,ug/m3
10000074,9,30/05/2014 19,30/05/2014 20,8,ug/m3
10000074,9,30/05/2014 20,30/05/2014 21,10,ug/m3
10000074,9,30/05/2014 21,30/05/2014 22,10,ug/m3
10000074,9,30/05/2014 22,30/05/2014 23,11,ug/m3
10000074,9,30/05/2014 23,31/05/2014 00,7,ug/m3
10000074,9,31/05/2014 00,31/05/2014 01,7,ug/m3
10000074,9,31/05/2014 01,31/05/2014 02,8,ug/m3
10000074,9,31/05/2014 02,31/05/2014 03,5,ug/m3
10000074,9,31/05/2014 05,31/05/2014 06,9,ug/m3
10000074,9,31/05/2014 06,31/05/2014 07,6,ug/m3
10000074,9,31/05/2014 07,31/05/2014 08,5,ug/m3
10000074,9,31/05/2014 08,31/05/2014 09,5,ug/m3
10000074,9,31/05/2014 09,31/05/2014 10,7,ug/m3
10000074,9,31/05/2014 10,31/05/2014 11,7,ug/m3
10000074,9,31/05/2014 11,31/05/2014 12,6,ug/m3
10000074,9,31/05/2014 12,31/05/2014 13,5,ug/m3
10000074,9,31/05/2014 13,31/05/2014 14,4,ug/m3
10000074,9,31/05/2014 14,31/05/2014 15,4,ug/m3
10000074,9,31/05/2014 15,31/05/2014 16,3,ug/m3
10000074,9,31/05/2014 16,31/05/2014 17,4,ug/m3
10000074,9,31/05/2014 17,31/05/2014 18,5,ug/m3
10000074,9,31/05/2014 18,31/05/2014 19,5,ug/m3
10000074,9,31/05/2014 19,31/05/2014 20,7,ug/m3
10000074,9,31/05/2014 20,31/05/2014 21,8,ug/m3
10000074,9,31/05/2014 21,31/05/2014 22,8,ug/m3
10000074,9,31/05/2014 22,31/05/2014 23,8,ug/m3
10000074,9,31/05/2014 23,01/06/2014 00,7,ug/m3
10000074,9,01/06/2014 00,01/06/2014 01,7,ug/m3
10000074,9,01/06/2014 01,01/06/2014 02,7,ug/m3
10000074,9,01/06/2014 02,01/06/2014 03,7,ug/m3
10000074,9,01/06/2014 04,01/06/2014 05,11,ug/m3
10000074,9,01/06/2014 05,01/06/2014 06,9,ug/m3
10000074,9,01/06/2014 06,01/06/2014 07,8,ug/m3
10000074,9,01/06/2014 07,01/06/2014 08,6,ug/m3
10000074,9,01/06/2014 08,01/06/2014 09,5,ug/m3
10000074,9,01/06/2014 09,01/06/2014 10,6,ug/m3
10000074,9,01/06/2014 10,01/06/2014 11,5,ug/m3
10000074,9,01/06/2014 11,01/06/2014 12,4,ug/m3
10000074,9,01/06/2014 12,01/06/2014 13,5,ug/m3
10000074,9,01/06/2014 13,01/06/2014 14,3,ug/m3
10000074,9,01/06/2014 14,01/06/2014 15,3,ug/m3
10000074,9,01/06/2014 15,01/06/2014 16,3,ug/m3
10000074,9,01/06/2014 16,01/06/2014 17,4,ug/m3
10000074,9,01/06/2014 17,01/06/2014 18,5,ug/m3
10000074,9,01/06/2014 18,01/06/2014 19,7,ug/m3
10000074,9,01/06/2014 19,01/06/2014 20,6,ug/m3
10000074,9,01/06/2014 20,01/06/2014 21,6,ug/m3
10000074,9,01/06/2014 21,01/06/2014 22,5,ug/m3
10000074,9,01/06/2014 22,01/06/2014 23,5,ug/m3
10000074,9,01/06/2014 23,02/06/2014 00,4,ug/m3
10000074,9,02/06/2014 00,02/06/2014 01,6,ug/m3
10000074,9,02/06/2014 01,02/06/2014 02,6,ug/m3
