COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
6000031,111,19/10/2012 00,20/10/2012 00,33,ug/m3
6000031,111,20/10/2012 00,21/10/2012 00,33,ug/m3
6000031,111,21/10/2012 00,22/10/2012 00,43,ug/m3
6000031,111,22/10/2012 00,23/10/2012 00,60,ug/m3
6000031,111,23/10/2012 00,24/10/2012 00,43,ug/m3
6000031,111,24/10/2012 00,25/10/2012 00,50,ug/m3
6000031,111,25/10/2012 00,26/10/2012 00,54,ug/m3
6000031,111,26/10/2012 00,27/10/2012 00,30,ug/m3
6000031,111,27/10/2012 00,28/10/2012 00,3,ug/m3
6000031,111,28/10/2012 00,29/10/2012 00,3,ug/m3
6000031,111,29/10/2012 00,30/10/2012 00,7,ug/m3
6000031,111,30/10/2012 00,31/10/2012 00,21,ug/m3
6000031,111,31/10/2012 00,01/11/2012 00,27,ug/m3
6000031,111,01/11/2012 00,02/11/2012 00,11,ug/m3
6000031,111,02/11/2012 00,03/11/2012 00,14,ug/m3
6000031,111,03/11/2012 00,04/11/2012 00,15,ug/m3
6000031,111,04/11/2012 00,05/11/2012 00,15,ug/m3
6000031,111,05/11/2012 00,06/11/2012 00,3,ug/m3
6000031,111,06/11/2012 00,07/11/2012 00,5,ug/m3
6000031,111,07/11/2012 00,08/11/2012 00,17,ug/m3
6000031,111,08/11/2012 00,09/11/2012 00,25,ug/m3
6000031,111,09/11/2012 00,10/11/2012 00,24,ug/m3
6000031,111,10/11/2012 00,11/11/2012 00,35,ug/m3
6000031,111,11/11/2012 00,12/11/2012 00,7,ug/m3
6000031,111,12/11/2012 00,13/11/2012 00,17,ug/m3
6000031,111,13/11/2012 00,14/11/2012 00,25,ug/m3
6000031,111,16/11/2012 00,17/11/2012 00,34,ug/m3
6000031,111,17/11/2012 00,18/11/2012 00,41,ug/m3
6000031,111,18/11/2012 00,19/11/2012 00,38,ug/m3
6000031,111,19/11/2012 00,20/11/2012 00,31,ug/m3
6000031,111,20/11/2012 00,21/11/2012 00,25,ug/m3
6000031,111,21/11/2012 00,22/11/2012 00,27,ug/m3
6000031,111,22/11/2012 00,23/11/2012 00,40,ug/m3
6000031,111,23/11/2012 00,24/11/2012 00,43,ug/m3
6000031,111,24/11/2012 00,25/11/2012 00,52,ug/m3
6000031,111,25/11/2012 00,26/11/2012 00,51,ug/m3
6000031,111,26/11/2012 00,27/11/2012 00,20,ug/m3
6000031,111,27/11/2012 00,28/11/2012 00,12,ug/m3
6000031,111,28/11/2012 00,29/11/2012 00,6,ug/m3
6000031,111,29/11/2012 00,30/11/2012 00,5,ug/m3
6000031,111,30/11/2012 00,01/12/2012 00,13,ug/m3
6000031,111,01/12/2012 00,02/12/2012 00,15,ug/m3
6000031,111,02/12/2012 00,03/12/2012 00,17,ug/m3
6000031,111,03/12/2012 00,04/12/2012 00,19,ug/m3
6000031,111,04/12/2012 00,05/12/2012 00,15,ug/m3
6000031,111,05/12/2012 00,06/12/2012 00,29,ug/m3
6000031,111,06/12/2012 00,07/12/2012 00,29,ug/m3
6000031,111,07/12/2012 00,08/12/2012 00,30,ug/m3
6000031,111,08/12/2012 00,09/12/2012 00,16,ug/m3
6000031,111,09/12/2012 00,10/12/2012 00,29,ug/m3
6000031,111,10/12/2012 00,11/12/2012 00,41,ug/m3
6000031,111,12/12/2012 00,13/12/2012 00,32,ug/m3
6000031,111,13/12/2012 00,14/12/2012 00,44,ug/m3
6000031,111,14/12/2012 00,15/12/2012 00,45,ug/m3
6000031,111,15/12/2012 00,16/12/2012 00,37,ug/m3
6000031,111,16/12/2012 00,17/12/2012 00,21,ug/m3
6000031,111,17/12/2012 00,18/12/2012 00,20,ug/m3
6000031,111,18/12/2012 00,19/12/2012 00,19,ug/m3
6000031,111,19/12/2012 00,20/12/2012 00,32,ug/m3
6000031,111,20/12/2012 00,21/12/2012 00,40,ug/m3
6000031,111,21/12/2012 00,22/12/2012 00,43,ug/m3
6000031,111,22/12/2012 00,23/12/2012 00,43,ug/m3
6000031,111,23/12/2012 00,24/12/2012 00,37,ug/m3
6000031,111,24/12/2012 00,25/12/2012 00,40,ug/m3
6000031,111,25/12/2012 00,26/12/2012 00,24,ug/m3
6000031,111,26/12/2012 00,27/12/2012 00,38,ug/m3
6000031,111,27/12/2012 00,28/12/2012 00,14,ug/m3
6000031,111,28/12/2012 00,29/12/2012 00,26,ug/m3
6000031,111,29/12/2012 00,30/12/2012 00,29,ug/m3
6000031,111,30/12/2012 00,31/12/2012 00,39,ug/m3
6000031,111,31/12/2012 00,01/01/2013 00,57,ug/m3
