COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
4000110,9,01/01/2010 00,01/01/2010 01,80,ug/m3
4000110,9,01/01/2010 01,01/01/2010 02,149,ug/m3
4000110,9,01/01/2010 02,01/01/2010 03,133,ug/m3
4000110,9,01/01/2010 03,01/01/2010 04,120,ug/m3
4000110,9,01/01/2010 04,01/01/2010 05,141,ug/m3
4000110,9,01/01/2010 05,01/01/2010 06,76,ug/m3
4000110,9,01/01/2010 06,01/01/2010 07,61,ug/m3
4000110,9,01/01/2010 07,01/01/2010 08,46,ug/m3
4000110,9,01/01/2010 08,01/01/2010 09,42,ug/m3
4000110,9,01/01/2010 09,01/01/2010 10,107,ug/m3
4000110,9,01/01/2010 10,01/01/2010 11,82,ug/m3
4000110,9,01/01/2010 11,01/01/2010 12,93,ug/m3
4000110,9,01/01/2010 12,01/01/2010 13,137,ug/m3
4000110,9,01/01/2010 13,01/01/2010 14,124,ug/m3
4000110,9,01/01/2010 14,01/01/2010 15,99,ug/m3
4000110,9,01/01/2010 15,01/01/2010 16,120,ug/m3
4000110,9,01/01/2010 16,01/01/2010 17,185,ug/m3
4000110,9,01/01/2010 17,01/01/2010 18,107,ug/m3
4000110,9,01/01/2010 18,01/01/2010 19,242,ug/m3
4000110,9,01/01/2010 19,01/01/2010 20,111,ug/m3
4000110,9,01/01/2010 20,01/01/2010 21,120,ug/m3
4000110,9,01/01/2010 21,01/01/2010 22,149,ug/m3
4000110,9,01/01/2010 22,01/01/2010 23,36,ug/m3
4000110,9,01/01/2010 23,02/01/2010 00,25,ug/m3
4000110,9,02/01/2010 00,02/01/2010 01,27,ug/m3
4000110,9,02/01/2010 01,02/01/2010 02,29,ug/m3
4000110,9,02/01/2010 02,02/01/2010 03,21,ug/m3
4000110,9,02/01/2010 03,02/01/2010 04,34,ug/m3
4000110,9,02/01/2010 04,02/01/2010 05,44,ug/m3
4000110,9,02/01/2010 05,02/01/2010 06,36,ug/m3
4000110,9,02/01/2010 06,02/01/2010 07,50,ug/m3
4000110,9,02/01/2010 07,02/01/2010 08,55,ug/m3
4000110,9,02/01/2010 08,02/01/2010 09,141,ug/m3
4000110,9,02/01/2010 09,02/01/2010 10,130,ug/m3
4000110,9,02/01/2010 10,02/01/2010 11,151,ug/m3
4000110,9,02/01/2010 11,02/01/2010 12,196,ug/m3
4000110,9,02/01/2010 12,02/01/2010 13,162,ug/m3
4000110,9,02/01/2010 13,02/01/2010 14,139,ug/m3
4000110,9,02/01/2010 14,02/01/2010 15,105,ug/m3
4000110,9,02/01/2010 15,02/01/2010 16,99,ug/m3
4000110,9,02/01/2010 16,02/01/2010 17,116,ug/m3
4000110,9,02/01/2010 17,02/01/2010 18,139,ug/m3
4000110,9,02/01/2010 18,02/01/2010 19,177,ug/m3
4000110,9,02/01/2010 19,02/01/2010 20,130,ug/m3
4000110,9,02/01/2010 20,02/01/2010 21,130,ug/m3
4000110,9,02/01/2010 21,02/01/2010 22,65,ug/m3
4000110,9,02/01/2010 22,02/01/2010 23,29,ug/m3
4000110,9,02/01/2010 23,03/01/2010 00,42,ug/m3
4000110,9,03/01/2010 00,03/01/2010 01,21,ug/m3
4000110,9,03/01/2010 01,03/01/2010 02,29,ug/m3
4000110,9,03/01/2010 02,03/01/2010 03,15,ug/m3
4000110,9,03/01/2010 03,03/01/2010 04,17,ug/m3
4000110,9,03/01/2010 04,03/01/2010 05,15,ug/m3
4000110,9,03/01/2010 05,03/01/2010 06,19,ug/m3
4000110,9,03/01/2010 06,03/01/2010 07,19,ug/m3
4000110,9,03/01/2010 07,03/01/2010 08,25,ug/m3
4000110,9,03/01/2010 08,03/01/2010 09,21,ug/m3
4000110,9,03/01/2010 09,03/01/2010 10,23,ug/m3
4000110,9,03/01/2010 10,03/01/2010 11,19,ug/m3
4000110,9,03/01/2010 11,03/01/2010 12,46,ug/m3
4000110,9,03/01/2010 12,03/01/2010 13,111,ug/m3
4000110,9,03/01/2010 13,03/01/2010 14,93,ug/m3
4000110,9,03/01/2010 14,03/01/2010 15,97,ug/m3
4000110,9,03/01/2010 15,03/01/2010 16,101,ug/m3
4000110,9,03/01/2010 16,03/01/2010 17,135,ug/m3
4000110,9,03/01/2010 17,03/01/2010 18,93,ug/m3
4000110,9,03/01/2010 18,03/01/2010 19,67,ug/m3
4000110,9,03/01/2010 19,03/01/2010 20,90,ug/m3
4000110,9,03/01/2010 20,03/01/2010 21,74,ug/m3
4000110,9,03/01/2010 21,03/01/2010 22,63,ug/m3
4000110,9,03/01/2010 22,03/01/2010 23,55,ug/m3
4000110,9,03/01/2010 23,04/01/2010 00,48,ug/m3
4000110,9,04/01/2010 00,04/01/2010 01,48,ug/m3
4000110,9,04/01/2010 01,04/01/2010 02,40,ug/m3
4000110,9,04/01/2010 02,04/01/2010 03,38,ug/m3
4000110,9,04/01/2010 03,04/01/2010 04,38,ug/m3
4000110,9,04/01/2010 04,04/01/2010 05,53,ug/m3
4000110,9,04/01/2010 05,04/01/2010 06,57,ug/m3
4000110,9,04/01/2010 06,04/01/2010 07,149,ug/m3
4000110,9,04/01/2010 07,04/01/2010 08,212,ug/m3
4000110,9,04/01/2010 08,04/01/2010 09,246,ug/m3
4000110,9,04/01/2010 09,04/01/2010 10,271,ug/m3
4000110,9,04/01/2010 10,04/01/2010 11,282,ug/m3
4000110,9,04/01/2010 11,04/01/2010 12,265,ug/m3
4000110,9,04/01/2010 12,04/01/2010 13,231,ug/m3
4000110,9,04/01/2010 13,04/01/2010 14,204,ug/m3
4000110,9,04/01/2010 14,04/01/2010 15,240,ug/m3
4000110,9,04/01/2010 15,04/01/2010 16,231,ug/m3
4000110,9,04/01/2010 16,04/01/2010 17,288,ug/m3
4000110,9,04/01/2010 17,04/01/2010 18,353,ug/m3
4000110,9,04/01/2010 18,04/01/2010 19,311,ug/m3
4000110,9,04/01/2010 19,04/01/2010 20,273,ug/m3
