COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
10000074,7,21/05/2014 00,21/05/2014 01,64,ug/m3
10000074,7,21/05/2014 02,21/05/2014 03,62,ug/m3
10000074,7,21/05/2014 03,21/05/2014 04,65,ug/m3
10000074,7,21/05/2014 04,21/05/2014 05,65,ug/m3
10000074,7,21/05/2014 05,21/05/2014 06,54,ug/m3
10000074,7,21/05/2014 06,21/05/2014 07,51,ug/m3
10000074,7,21/05/2014 07,21/05/2014 08,48,ug/m3
10000074,7,21/05/2014 08,21/05/2014 09,56,ug/m3
10000074,7,21/05/2014 09,21/05/2014 10,67,ug/m3
10000074,7,21/05/2014 10,21/05/2014 11,75,ug/m3
10000074,7,21/05/2014 11,21/05/2014 12,90,ug/m3
10000074,7,21/05/2014 12,21/05/2014 13,103,ug/m3
10000074,7,21/05/2014 13,21/05/2014 14,108,ug/m3
10000074,7,21/05/2014 14,21/05/2014 15,108,ug/m3
10000074,7,21/05/2014 15,21/05/2014 16,114,ug/m3
10000074,7,21/05/2014 16,21/05/2014 17,118,ug/m3
10000074,7,21/05/2014 17,21/05/2014 18,119,ug/m3
10000074,7,21/05/2014 18,21/05/2014 19,104,ug/m3
10000074,7,21/05/2014 19,21/05/2014 20,89,ug/m3
10000074,7,21/05/2014 20,21/05/2014 21,79,ug/m3
10000074,7,21/05/2014 21,21/05/2014 22,75,ug/m3
10000074,7,21/05/2014 22,21/05/2014 23,68,ug/m3
10000074,7,21/05/2014 23,22/05/2014 00,73,ug/m3
10000074,7,22/05/2014 00,22/05/2014 01,75,ug/m3
10000074,7,22/05/2014 02,22/05/2014 03,76,ug/m3
10000074,7,22/05/2014 03,22/05/2014 04,98,ug/m3
10000074,7,22/05/2014 04,22/05/2014 05,102,ug/m3
10000074,7,22/05/2014 05,22/05/2014 06,95,ug/m3
10000074,7,22/05/2014 06,22/05/2014 07,82,ug/m3
10000074,7,22/05/2014 07,22/05/2014 08,79,ug/m3
10000074,7,22/05/2014 08,22/05/2014 09,81,ug/m3
10000074,7,22/05/2014 09,22/05/2014 10,87,ug/m3
10000074,7,22/05/2014 10,22/05/2014 11,93,ug/m3
10000074,7,22/05/2014 11,22/05/2014 12,102,ug/m3
10000074,7,22/05/2014 13,22/05/2014 14,102,ug/m3
10000074,7,22/05/2014 14,22/05/2014 15,108,ug/m3
10000074,7,22/05/2014 15,22/05/2014 16,111,ug/m3
10000074,7,22/05/2014 16,22/05/2014 17,100,ug/m3
10000074,7,22/05/2014 17,22/05/2014 18,98,ug/m3
10000074,7,22/05/2014 18,22/05/2014 19,100,ug/m3
10000074,7,22/05/2014 19,22/05/2014 20,92,ug/m3
10000074,7,22/05/2014 20,22/05/2014 21,89,ug/m3
10000074,7,22/05/2014 21,22/05/2014 22,95,ug/m3
10000074,7,22/05/2014 22,22/05/2014 23,92,ug/m3
10000074,7,22/05/2014 23,23/05/2014 00,77,ug/m3
