COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
7000024,9,01/01/2010 00,01/01/2010 01,67,ug/m3
7000024,9,01/01/2010 01,01/01/2010 02,79,ug/m3
7000024,9,01/01/2010 02,01/01/2010 03,82,ug/m3
7000024,9,01/01/2010 03,01/01/2010 04,79,ug/m3
7000024,9,01/01/2010 05,01/01/2010 06,81,ug/m3
7000024,9,01/01/2010 06,01/01/2010 07,58,ug/m3
7000024,9,01/01/2010 07,01/01/2010 08,88,ug/m3
7000024,9,01/01/2010 08,01/01/2010 09,66,ug/m3
7000024,9,01/01/2010 09,01/01/2010 10,71,ug/m3
7000024,9,01/01/2010 10,01/01/2010 11,71,ug/m3
7000024,9,01/01/2010 11,01/01/2010 12,65,ug/m3
7000024,9,01/01/2010 12,01/01/2010 13,78,ug/m3
7000024,9,01/01/2010 13,01/01/2010 14,75,ug/m3
7000024,9,01/01/2010 14,01/01/2010 15,61,ug/m3
7000024,9,01/01/2010 15,01/01/2010 16,69,ug/m3
7000024,9,01/01/2010 16,01/01/2010 17,60,ug/m3
7000024,9,01/01/2010 17,01/01/2010 18,56,ug/m3
7000024,9,01/01/2010 18,01/01/2010 19,81,ug/m3
7000024,9,01/01/2010 19,01/01/2010 20,120,ug/m3
7000024,9,01/01/2010 20,01/01/2010 21,81,ug/m3
7000024,9,01/01/2010 21,01/01/2010 22,52,ug/m3
7000024,9,01/01/2010 22,01/01/2010 23,35,ug/m3
7000024,9,01/01/2010 23,02/01/2010 00,26,ug/m3
7000024,9,02/01/2010 00,02/01/2010 01,20,ug/m3
7000024,9,02/01/2010 01,02/01/2010 02,18,ug/m3
7000024,9,02/01/2010 02,02/01/2010 03,19,ug/m3
7000024,9,02/01/2010 03,02/01/2010 04,13,ug/m3
7000024,9,02/01/2010 05,02/01/2010 06,38,ug/m3
7000024,9,02/01/2010 06,02/01/2010 07,55,ug/m3
7000024,9,02/01/2010 07,02/01/2010 08,54,ug/m3
7000024,9,02/01/2010 08,02/01/2010 09,58,ug/m3
7000024,9,02/01/2010 09,02/01/2010 10,141,ug/m3
7000024,9,02/01/2010 10,02/01/2010 11,189,ug/m3
7000024,9,02/01/2010 11,02/01/2010 12,149,ug/m3
7000024,9,02/01/2010 12,02/01/2010 13,88,ug/m3
7000024,9,02/01/2010 13,02/01/2010 14,60,ug/m3
7000024,9,02/01/2010 14,02/01/2010 15,68,ug/m3
7000024,9,02/01/2010 15,02/01/2010 16,52,ug/m3
7000024,9,02/01/2010 16,02/01/2010 17,51,ug/m3
7000024,9,02/01/2010 17,02/01/2010 18,90,ug/m3
7000024,9,02/01/2010 18,02/01/2010 19,46,ug/m3
7000024,9,02/01/2010 19,02/01/2010 20,34,ug/m3
7000024,9,02/01/2010 20,02/01/2010 21,32,ug/m3
7000024,9,02/01/2010 21,02/01/2010 22,48,ug/m3
7000024,9,02/01/2010 22,02/01/2010 23,31,ug/m3
7000024,9,02/01/2010 23,03/01/2010 00,26,ug/m3
7000024,9,03/01/2010 00,03/01/2010 01,29,ug/m3
